timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
10996000,-0.0042699925,0.018033458,-0.06343385,0.00051195524,0.00051195524,0.69948804,0.0639972,0.0639972,-0.0639972,4.0,4.0,-4.0,1.6233288,-0.00037263107
11196000,-0.0033906593,0.017196352,-0.0638795,0.0005119725,0.0005119725,0.69948804,0.06399828,0.06399828,-0.06399828,4.0,4.0,-4.0,1.6232334,-0.0007453768
11396000,-0.003035469,0.017145446,-0.062360454,0.00051198184,0.00051198184,0.699488,0.06399886,0.06399886,-0.06399886,4.0,4.0,-4.0,1.6230826,-0.00079944666
11596000,-0.005123715,0.016219217,-0.06187429,0.00051191734,0.00051191734,0.69948804,0.06399483,0.06399483,-0.06399483,4.0,4.0,-4.0,1.6237695,0.0024647454
11796000,-0.0070257913,0.015877327,-0.05990403,0.00051192637,0.00051192637,0.69948804,0.0639954,0.0639954,-0.0639954,4.0,4.0,-4.0,1.6237658,0.00047665508
11996000,-0.00829663,0.014768689,-0.05978013,0.00051193807,0.00051193807,0.69948804,0.06399613,0.06399613,-0.06399613,4.0,4.0,-4.0,1.623508,-0.00091728463
12196000,-0.009457474,0.0142353205,-0.05797858,0.0005119576,0.0005119576,0.69948804,0.06399735,0.06399735,-0.06399735,4.0,4.0,-4.0,1.623697,0.00030562776
12396000,-0.008975888,0.013376363,-0.057045016,0.0005119739,0.0005119739,0.69948804,0.06399837,0.06399837,-0.06399837,4.0,4.0,-4.0,1.6236115,-9.935302e-05
12596000,-0.009285464,0.013078097,-0.05526325,0.0005119612,0.0005119612,0.69948804,0.063997574,0.063997574,-0.063997574,4.0,4.0,-4.0,1.6230468,-0.0022364964
12796000,-0.0058893417,0.010950689,-0.052408196,0.00051186857,0.00051186857,0.6994881,0.063991785,0.063991785,-0.063991785,4.0,4.0,-4.0,1.6224413,-0.0029522022
12996000,-0.0040431563,0.009388964,-0.048552956,0.00051193056,0.00051193056,0.69948804,0.06399566,0.06399566,-0.06399566,4.0,4.0,-4.0,1.6221788,-0.0021630542
13196000,-0.0026058503,0.005178106,-0.04742174,0.0005118484,0.0005118484,0.69948816,0.063990526,0.063990526,-0.063990526,4.0,4.0,-4.0,1.6226344,0.00063052325
13396000,-0.0023925267,0.0020979291,-0.04390981,0.0005119003,0.0005119003,0.6994881,0.06399377,0.06399377,-0.06399377,4.0,4.0,-4.0,1.6223443,-0.0006916051
13596000,-0.0020201926,0.0014632287,-0.045729954,0.0005119863,0.0005119863,0.699488,0.063999146,0.063999146,-0.063999146,4.0,4.0,-4.0,1.6226497,0.0010517644
13796000,-0.0022462083,0.0011663587,-0.045517027,0.0005119704,0.0005119704,0.69948804,0.06399815,0.06399815,-0.06399815,4.0,4.0,-4.0,1.6231395,0.0024589463
13996000,-0.003582081,0.0018690878,-0.047343623,0.0005119383,0.0005119383,0.69948804,0.06399614,0.06399614,-0.06399614,4.0,4.0,-4.0,1.6228149,-0.00061228767
14196000,-0.0049508074,0.002256792,-0.045939032,0.0005119457,0.0005119457,0.69948804,0.063996606,0.063996606,-0.063996606,4.0,4.0,-4.0,1.6216016,-0.005169168
14396000,-0.0030269292,0.002575552,-0.045272943,0.0005119321,0.0005119321,0.69948804,0.063995756,0.063995756,-0.063995756,4.0,4.0,-4.0,1.6203079,-0.0070551974
14596000,-0.0019305409,0.0028620756,-0.04182448,0.0005119697,0.0005119697,0.69948804,0.0639981,0.0639981,-0.0639981,4.0,4.0,-4.0,1.6201923,-0.0029609348
14796000,-0.001034323,0.0073665804,-0.04149283,0.0005118334,0.0005118334,0.69948816,0.06398959,0.06398959,-0.06398959,4.0,4.0,-4.0,1.6203327,-0.0006799231
