timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037100084,0.001654572,9.253008e-12,-0.21289241,0.19670779,-9.922626,-0.0010226539,-0.0053476277,-0.00040480058,0.00036013508,0.00047323148,0.0004657808,1.4402357e-06,3.1792988e-06,1.9452164e-06,11.832729,11.832729
4776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02459726,0.002150796,1.2503531e-11,-0.21806389,0.18272565,-9.927414,-0.0012357067,-0.0041758367,0.00034088458,0.00044181893,0.0004173616,0.0004844152,1.7428458e-06,4.3660984e-06,7.562419e-06,11.832729,11.832729
5776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023481084,0.001998847,9.593647e-12,-0.202741,0.18195951,-9.944173,-0.0016831178,-0.004623248,-0.00034088473,0.00044841107,0.00025842676,0.000474374,2.07288e-06,3.3268213e-06,2.7395681e-06,11.832729,11.832729
6776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023579217,0.0022684245,1.3291405e-11,-0.20207062,0.18358757,-9.926935,-0.00031957933,-0.00515588,4.2610485e-05,0.00058898376,0.00046942913,0.00037176438,3.3570823e-06,3.3031797e-06,3.9462266e-06,11.832729,11.832729
7776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024200883,0.0021604921,1.2492146e-11,-0.21576546,0.18569447,-9.936704,-0.0011930962,-0.0054115434,0.00034088455,0.00027673165,0.00056322705,0.0002621145,1.306898e-06,3.964194e-06,3.732508e-06,11.832729,11.832729
8776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02349506,0.0019618224,1.2307399e-11,-0.19699492,0.17860763,-9.9333515,-0.0010652645,-0.0047723847,-0.00021305298,0.0002973675,0.00039599964,0.00055598555,1.8676726e-06,2.9428845e-06,3.5225721e-06,11.832729,11.832729
9776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02488916,0.0021149444,1.2533131e-11,-0.19191921,0.1744896,-9.9245405,-0.001107875,-0.004559332,-0.0011930963,0.00019808579,0.0005375468,0.0004911911,3.0478523e-06,3.879085e-06,4.3566415e-06,11.832729,11.832729
10776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024718324,0.0020886383,8.449734e-12,-0.18990807,0.16213551,-9.92138,2.1305312e-05,-0.0038775627,-0.00014913711,0.0004894919,0.00065133104,0.00019724219,3.9358247e-06,3.3930173e-06,3.1802444e-06,11.832729,11.832729
11776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023526343,0.0021731372,1.09576835e-11,-0.19986796,0.1663493,-9.928563,-0.001768339,-0.004665858,-0.0007669905,0.00048777225,0.0003554538,0.00035774987,3.7287255e-06,5.0186018e-06,2.2005438e-06,11.832729,11.832729
12776000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024104534,0.0022603103,1.8526283e-11,-0.1979526,0.17305307,-9.923775,-0.0014274544,-0.005709817,-0.0005965482,0.00039061136,0.00095848145,0.0004962727,4.46161e-06,6.1117807e-06,4.4285116e-06,11.832729,11.832729
