timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8]
5808000,5808000,0.017660515,0.019234542,0.00070415717,0.001,0.0,0.0,0.0,0.0,0.0
5860000,5860000,0.018009888,0.020812111,0.0007016171,0.001,0.0,0.0,0.0,0.0,0.0
5912000,5912000,0.017375134,0.021098066,0.0005193962,0.001,0.0,0.0,0.0,0.0,0.0
5960000,5960000,0.01845555,0.020374298,6.494927e-06,0.001,0.0,0.0,0.0,0.0,0.0
6012000,6012000,0.017204605,0.02133833,-2.4277973e-05,0.001,0.0,0.0,0.0,0.0,0.0
6064000,6064000,0.018397277,0.020140594,0.000324733,0.001,0.0,0.0,0.0,0.0,0.0
6108000,6108000,0.01742383,0.019349819,0.00042383635,0.001,0.0,0.0,0.0,0.0,0.0
6164000,6164000,0.01724583,0.021478409,0.00047933855,0.001,0.0,0.0,0.0,0.0,0.0
6208000,6208000,0.018031077,0.020869229,0.00042267787,0.001,0.0,0.0,0.0,0.0,0.0
6260000,6260000,0.01743013,0.021757679,0.00016616704,0.001,0.0,0.0,0.0,0.0,0.0
6312000,6312000,0.018370004,0.02084757,0.00014484352,0.001,0.0,0.0,0.0,0.0,0.0
6360000,6360000,0.017494008,0.019672131,0.00041751363,0.001,0.0,0.0,0.0,0.0,0.0
6412000,6412000,0.017394725,0.020510694,0.00064889214,0.001,0.0,0.0,0.0,0.0,0.0
6464000,6464000,0.018001165,0.02005324,-0.0003989065,0.001,0.0,0.0,0.0,0.0,0.0
6512000,6512000,0.016591752,0.02071905,0.00064338,0.001,0.0,0.0,0.0,0.0,0.0
6564000,6564000,0.016189529,0.020035764,6.283531e-05,0.001,0.0,0.0,0.0,0.0,0.0
6608000,6608000,0.01681884,0.020299222,0.0010816193,0.001,0.0,0.0,0.0,0.0,0.0
6664000,6664000,0.01647609,0.020096105,0.00064389507,0.001,0.0,0.0,0.0,0.0,0.0
6712000,6712000,0.017449697,0.019963896,0.00034261352,0.001,0.0,0.0,0.0,0.0,0.0
6764000,6764000,0.017862603,0.019732984,0.0001384011,0.001,0.0,0.0,0.0,0.0,0.0
6812000,6812000,0.017582312,0.019884551,0.0009657053,0.001,0.0,0.0,0.0,0.0,0.0
6864000,6864000,0.017562883,0.019910198,-0.00019478406,0.001,0.0,0.0,0.0,0.0,0.0
6912000,6912000,0.0170338,0.021520736,1.3201463e-05,0.001,0.0,0.0,0.0,0.0,0.0
6964000,6964000,0.016885381,0.020563161,0.0005540556,0.001,0.0,0.0,0.0,0.0,0.0
7012000,7012000,0.016053507,0.020436589,0.0003152338,0.001,0.0,0.0,0.0,0.0,0.0
7060000,7060000,0.017540477,0.020289565,0.00011963182,0.001,0.0,0.0,0.0,0.0,0.0
7112000,7112000,0.016660115,0.020722646,0.0005054994,0.001,0.0,0.0,0.0,0.0,0.0
7164000,7164000,0.017421184,0.021110412,1.2941379e-05,0.001,0.0,0.0,0.0,0.0,0.0
7212000,7212000,0.017372305,0.019828651,0.00031455766,0.001,0.0,0.0,0.0,0.0,0.0
7264000,7264000,0.01728758,0.021175055,0.000224617,0.001,0.0,0.0,0.0,0.0,0.0
7312000,7312000,0.017240673,0.019624727,-0.00027864505,0.001,0.0,0.0,0.0,0.0,0.0
7364000,7364000,0.016211363,0.020304002,0.0001931154,0.001,0.0,0.0,0.0,0.0,0.0
7412000,7412000,0.01793985,0.021160034,-0.00014623195,0.001,0.0,0.0,0.0,0.0,0.0
7464000,7464000,0.015986929,0.020871453,0.0005136517,0.001,0.0,0.0,0.0,0.0,0.0
7512000,7512000,0.017757744,0.019873207,0.00038259936,0.001,0.0,0.0,0.0,0.0,0.0
7564000,7564000,0.017265577,0.0201046,-0.00017238288,0.001,0.0,0.0,0.0,0.0,0.0
7612000,7612000,0.017676717,0.02177534,0.00012083939,0.001,0.0,0.0,0.0,0.0,0.0
7664000,7664000,0.017844342,0.020795342,-0.00023879754,0.001,0.0,0.0,0.0,0.0,0.0
7712000,7712000,0.017143114,0.02123642,-0.00065892056,0.001,0.0,0.0,0.0,0.0,0.0
7764000,7764000,0.017277045,0.0207969,0.00017689126,0.001,0.0,0.0,0.0,0.0,0.0
7812000,7812000,0.016499178,0.021205544,0.0005530724,0.001,0.0,0.0,0.0,0.0,0.0
7864000,7864000,0.016457569,0.021101004,-0.00021288691,0.001,0.0,0.0,0.0,0.0,0.0
7912000,7912000,0.017339816,0.021582417,0.0006759897,0.001,0.0,0.0,0.0,0.0,0.0
7964000,7964000,0.017738033,0.020139676,0.00012629716,0.001,0.0,0.0,0.0,0.0,0.0
8012000,8012000,0.017628595,0.020458361,0.0004886356,0.001,0.0,0.0,0.0,0.0,0.0
8064000,8064000,0.017764768,0.020039616,-1.6108004e-05,0.001,0.0,0.0,0.0,0.0,0.0
8112000,8112000,0.017295161,0.020247407,0.00026076098,0.001,0.0,0.0,0.0,0.0,0.0
8164000,8164000,0.016286192,0.020358674,0.00023134511,0.001,0.0,0.0,0.0,0.0,0.0
8212000,8212000,0.017288953,0.020759383,9.756674e-05,0.001,0.0,0.0,0.0,0.0,0.0
8264000,8264000,0.01690056,0.020709539,0.00051740254,0.001,0.0,0.0,0.0,0.0,0.0
8312000,8312000,0.018193174,0.019478278,-6.159647e-05,0.001,0.0,0.0,0.0,0.0,0.0
8364000,8364000,0.017673414,0.020476839,0.0009684725,0.001,0.0,0.0,0.0,0.0,0.0
8412000,8412000,0.017834617,0.020308705,0.0006170409,0.001,0.0,0.0,0.0,0.0,0.0
8464000,8464000,0.017852759,0.019508002,0.00030151336,0.001,0.0,0.0,0.0,0.0,0.0
