timestamp,load,ram_usage
4080000,0.12,0.16889885
4580000,0.08,0.17227261
5080000,0.18,0.1724138
5580000,0.16,0.17243461
6080000,0.16,0.1724367
6580000,0.1764706,0.17244135
7080000,0.18,0.17258267
7580000,0.16,0.17262651
8080000,0.18,0.17263679
8580000,0.14,0.17217977
9080000,0.18,0.17219202
9580000,0.18,0.17218639
10080000,0.16,0.17205377
10580000,0.14,0.1716423
11080000,0.18,0.17300552
11580000,0.12,0.17227603
12080000,0.14,0.1734209
12580000,0.14,0.17399572
13080000,0.16,0.17403406
13580000,0.12,0.17656773
14080000,0.16,0.17640217
14580000,0.12,0.17593205
15080000,0.16,0.1759727
15580000,0.16,0.17600001
16080000,0.16,0.1759967
16580000,0.18,0.17563006
17080000,0.16,0.172145
17580000,0.18,0.17218064
18080000,0.14,0.17217611
18580000,0.2,0.17224088
19080000,0.16,0.17216691
19580000,0.18,0.17212223
20080000,0.2,0.17216459
20580000,0.2,0.17205401
21080000,0.16,0.17206466
21580000,0.16,0.17211549
22080000,0.18,0.17210777
22580000,0.18,0.17211474
23080000,0.14,0.17215419
23580000,0.18,0.17216092
24080000,0.14,0.17216226
24580000,0.14,0.17217109
25080000,0.16,0.17216018
25580000,0.16,0.1720714
26080000,0.18,0.17206039
26580000,0.18,0.17206588
27080000,0.18,0.17207508
27580000,0.16,0.17207325
28080000,0.18,0.17208292
28580000,0.18,0.1720812
29080000,0.16,0.17207569
29580000,0.18,0.17207311
30080000,0.14,0.17206773
30580000,0.18,0.17207287
31080000,0.18,0.17207532
31580000,0.16,0.17207262
32080000,0.2,0.17206785
32580000,0.18,0.17206687
33080000,0.14,0.17207716
33580000,0.16,0.17207557
34080000,0.18,0.1720774
34580000,0.16,0.17213361
35080000,0.18,0.17210495
35580000,0.12,0.17211758
36080000,0.18,0.17208193
36580000,0.16,0.17207973
37080000,0.18,0.17207508
37580000,0.16,0.17207398
38080000,0.16,0.17206785
38580000,0.18,0.17206492
39080000,0.18,0.17206123
39580000,0.18,0.1720594
40080000,0.14,0.1718484
40580000,0.16,0.17186114
41080000,0.16,0.17186518
41580000,0.18,0.17186922
42080000,0.18,0.1719029
42580000,0.18,0.1719111
43080000,0.16,0.17176
43580000,0.18,0.17175643
44080000,0.16,0.17172852
44580000,0.1764706,0.17170022
45080000,0.16,0.17170158
45580000,0.2,0.17170034
46080000,0.18,0.17169313
46580000,0.18,0.17164756
47080000,0.2,0.17163557
47580000,0.18,0.171633
48080000,0.18,0.17162895
48580000,0.18,0.171627
49080000,0.18,0.17162137
49580000,0.16,0.17161095
50080000,0.2,0.17160691
50580000,0.14,0.17162749
51080000,0.16,0.1716216
51580000,0.18,0.17161879
52080000,0.14,0.17161524
52580000,0.18,0.17161328
53080000,0.16,0.17160839
53580000,0.18,0.17160642
54080000,0.18,0.17158598
54580000,0.14,0.1715774
55080000,0.18,0.17157802
55580000,0.16,0.17159149
56080000,0.18,0.17160262
56580000,0.14,0.17166606
57080000,0.16,0.1716734
57580000,0.16,0.17165627
58080000,0.18,0.17167366
58580000,0.16,0.17170757
59080000,0.18,0.17170414
