timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
3180000,-0.0,-0.0,-6.0625942e-05,0.0,1.0,-0.0,0.0,-3.0312971e-05,0.0,0.0,-0.001,0,0
3188000,-0.0,-0.0,-6.395733e-05,0.0,1.0,-0.0,0.0,-3.1978667e-05,0.0,0.0,-0.001,0,0
3228000,0.0,-0.0,1.6125026,0.0,0.6922087,0.0,0.0,0.7216974,0.0,0.0,-0.001,0,0
3276000,0.0,-0.0,1.6125096,0.0,0.6922062,0.0,0.0,0.7216998,0.0,0.0,-0.001,0,0
3324000,0.0,-0.0,1.6125225,0.0,0.69220155,0.0,0.0,0.72170424,0.0,0.0,-0.001,0,0
3372000,0.0,-0.0,1.6125523,0.0,0.69219077,0.0,0.0,0.72171456,0.0,0.0,-0.001,0,0
3428000,0.0,-0.0,1.6166916,0.0,0.69069564,0.0,0.0,0.72314554,0.0,0.0,-0.001,0,0
3476000,0.0,-0.0,1.6165326,0.0,0.6907531,0.0,0.0,0.7230907,0.0,0.0,-0.001,0,0
3524000,0.0,-0.0,1.6165164,0.0,0.69075894,0.0,0.0,0.72308517,0.0,0.0,-0.001,0,0
3580000,0.0,-0.0,1.6166095,0.0,0.6907253,0.0,0.0,0.72311723,0.0,0.0,-0.001,0,0
3628000,0.0,-0.0,1.616663,0.0,0.69070596,0.0,0.0,0.72313577,0.0,0.0,-0.001,0,0
3676000,0.0,-0.0,1.6169862,0.0,0.6905891,0.0,0.0,0.72324735,0.0,0.0,-0.001,0,0
3724000,0.0,-0.0,1.6173017,0.0,0.690475,0.0,0.0,0.7233563,0.0,0.0,-0.001,0,0
3772000,0.0,-0.0,1.6174946,0.0,0.6904052,0.0,0.0,0.7234229,0.0,0.0,-0.001,0,0
3828000,0.0,-0.0,1.6179278,0.0,0.6902485,0.0,0.0,0.7235724,0.0,0.0,-0.001,0,0
3876000,0.0,-0.0,1.618113,0.0,0.6901815,0.0,0.0,0.7236364,0.0,0.0,-0.001,0,0
3924000,0.0,-0.0,1.6181874,0.0,0.69015455,0.0,0.0,0.7236621,0.0,0.0,-0.001,0,0
3980000,0.0,-0.0,1.6182387,0.0,0.690136,0.0,0.0,0.7236797,0.0,0.0,-0.001,0,0
4028000,0.0,-0.0,1.617814,0.0,0.6902897,0.0,0.0,0.7235332,0.0,0.0,-0.001,0,0
4076000,0.0,-0.0,1.6172725,0.0,0.69048554,0.0,0.0,0.72334623,0.0,0.0,-0.001,0,0
4132000,0.0,-0.0,1.6166822,0.0,0.69069904,0.0,0.0,0.7231424,0.0,0.0,-0.001,0,0
4180000,0.0,-0.0,1.6163722,0.0,0.6908111,0.0,0.0,0.72303534,0.0,0.0,-0.001,0,0
4228000,0.0,-0.0,1.6164923,0.0,0.69076765,0.0,0.0,0.7230768,0.0,0.0,-0.001,0,0
4276000,0.0,-0.0,1.6166451,0.0,0.69071245,0.0,0.0,0.7231295,0.0,0.0,-0.001,0,0
4324000,0.0,-0.0,1.6166955,0.0,0.6906942,0.0,0.0,0.723147,0.0,0.0,-0.001,0,0
4380000,0.0,-0.0,1.6166441,0.0,0.69071275,0.0,0.0,0.7231293,0.0,0.0,-0.001,0,0
4428000,0.0,-0.0,1.6167529,0.0,0.6906734,0.0,0.0,0.72316676,0.0,0.0,-0.001,0,0
4476000,0.0,-0.0,1.6170505,0.0,0.6905658,0.0,0.0,0.72326964,0.0,0.0,-0.001,0,0
4532000,0.0,-0.0,1.6176295,0.0,0.6903564,0.0,0.0,0.72346956,0.0,0.0,-0.001,0,0
4572000,0.0,-0.0,1.6181449,0.0,0.69016993,0.0,0.0,0.7236474,0.0,0.0,-0.001,0,0
4628000,0.0,-0.0,1.6187409,0.0,0.6899543,0.0,0.0,0.72385293,0.0,0.0,-0.001,0,0
4676000,0.0,-0.0,1.6191647,0.0,0.68980086,0.0,0.0,0.7239992,0.0,0.0,-0.001,0,0
4724000,0.0,-0.0,1.6194434,0.0,0.68969995,0.0,0.0,0.7240953,0.0,0.0,-0.001,0,0
4772000,0.0,-0.0,1.6197075,0.0,0.68960434,0.0,0.0,0.72418636,0.0,0.0,-0.001,0,0
4828000,0.0,-0.0,1.6196526,0.0,0.68962425,0.0,0.0,0.7241674,0.0,0.0,-0.001,0,0
4876000,0.0,-0.0,1.6199163,0.0,0.6895287,0.0,0.0,0.7242585,0.0,0.0,-0.001,0,0
4924000,0.0,-0.0,1.6203854,0.0,0.68935883,0.0,0.0,0.72442,0.0,0.0,-0.001,0,0
4972000,0.0,-0.0,1.6209785,0.0,0.689144,0.0,0.0,0.72462445,0.0,0.0,-0.001,0,0
