timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
4304000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4316000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4328000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4340000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4352000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4364000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4376000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4388000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4400000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4412000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4424000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4436000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4448000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4460000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4472000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4484000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4496000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4508000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4520000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4532000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4544000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4556000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4568000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4580000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4592000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4604000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4616000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4628000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4640000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4652000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4664000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4676000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4688000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4700000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4712000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4724000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4736000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4748000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
4760000,47.3977508,8.5456074,488.10202,0.0,0.0,0.0,0.0,1,1,0,0
