timestamp,time_estimate,safe_time_estimate,valid
4124000,0.0,0.0,0
5132000,0.0,0.0,0
6140000,0.0,0.0,0
7148000,0.0,0.0,0
8156000,0.0,0.0,0
9164000,0.004143091,100.004555,1
10188000,0.03581939,100.0394,1
11196000,0.031714074,100.03489,1
12204000,0.036580067,100.04024,1
13212000,0.02395552,100.02635,1
14220000,0.034523886,100.03798,1
15228000,0.012332674,100.013565,1
16236000,0.0132541405,100.01458,1
17244000,0.02193452,100.02413,1
18252000,0.024060128,100.02647,1
19260000,0.04030084,100.044334,1
20268000,0.10088639,100.11098,1
21292000,0.0051979898,100.005714,1
22300000,0.039655462,100.04362,1
23308000,0.0097330995,100.010704,1
24316000,0.039589852,100.04355,1
25372000,0.007745942,100.00852,1
26380000,0.19232973,100.21156,1
27388000,1.1207684,101.23285,1
28396000,2.0956001,102.30516,1
29412000,2.8400824,103.12409,1
30420000,3.1209261,103.43302,1
31428000,3.364735,103.70121,1
32436000,3.4962916,103.845924,1
33444000,3.5775485,103.9353,1
34452000,3.6495295,104.01448,1
35460000,3.6476374,104.0124,1
36468000,3.6537464,104.01912,1
37476000,3.6449008,104.00939,1
38484000,3.6518106,104.01699,1
39492000,3.6567097,104.022385,1
40500000,3.6672053,104.03393,1
41508000,3.686188,104.05481,1
42516000,3.7090955,104.08,1
43524000,3.7303705,104.10341,1
44532000,3.7382202,104.112045,1
45540000,3.0022812,103.302505,1
46548000,2.028082,102.23089,1
47556000,1.0389199,101.142815,1
48564000,0.1516873,100.166855,1
49572000,0.28362378,100.31199,1
50580000,0.41804248,100.45985,1
51588000,0.63964933,100.70361,1
52596000,0.7182512,100.79008,1
53604000,0.6561724,100.72179,1
54612000,0.6243955,100.68684,1
55620000,0.5323098,100.58554,1
56628000,0.45509762,100.50061,1
57636000,0.42730647,100.47004,1
58660000,0.34658825,100.38125,1
