timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
3420000,1,-1,0,45,0,0,1,0,0,0,0,0
21188000,1,-1,0,45,0,0,1,0,0,0,0,0
28844000,1,-1,0,45,0,0,1,0,1,0,0,0
28856000,1,-1,0,45,0,0,1,0,1,0,0,0
44432000,1,-1,0,45,0,0,1,0,0,0,0,0
56524000,1,-1,0,45,0,0,1,0,1,0,0,0
56528000,1,-1,0,45,0,0,1,0,1,0,0,0
56580000,1,-1,0,45,0,0,1,0,1,0,0,0
56628000,1,-1,0,45,0,0,1,0,1,0,0,0
56684000,1,-1,0,45,0,0,1,0,1,0,0,0
56732000,1,-1,0,45,0,0,1,0,1,0,0,0
56780000,1,-1,0,45,0,0,1,0,1,0,0,0
56828000,1,-1,0,45,0,0,1,0,1,0,0,0
56884000,1,-1,0,45,0,0,1,0,1,0,0,0
56932000,1,-1,0,45,0,0,1,0,1,0,0,0
56980000,1,-1,0,45,0,0,1,0,1,0,0,0
57028000,1,-1,0,45,0,0,1,0,1,0,0,0
57032000,1,-1,0,45,0,0,1,0,1,0,0,0
57084000,1,-1,0,45,0,0,1,0,1,0,0,0
57132000,1,-1,0,45,0,0,1,0,1,0,0,0
57188000,1,-1,0,45,0,0,1,0,1,0,0,0
57236000,1,-1,0,45,0,0,1,0,1,0,0,0
57284000,1,-1,0,45,0,0,1,0,1,0,0,0
57332000,1,-1,0,45,0,0,1,0,1,0,0,0
57388000,1,-1,0,45,0,0,1,0,1,0,0,0
57436000,1,-1,0,45,0,0,1,0,1,0,0,0
57484000,1,-1,0,45,0,0,1,0,1,0,0,0
57532000,1,-1,0,45,0,0,1,0,1,0,0,0
57536000,1,-1,0,45,0,0,1,0,1,0,0,0
57588000,1,-1,0,45,0,0,1,0,1,0,0,0
57636000,1,-1,0,45,0,0,1,0,1,0,0,0
57692000,1,-1,0,45,0,0,1,0,1,0,0,0
57740000,1,-1,0,45,0,0,1,0,1,0,0,0
57788000,1,-1,0,45,0,0,1,0,1,0,0,0
57836000,1,-1,0,45,0,0,1,0,1,0,0,0
57892000,1,-1,0,45,0,0,1,0,1,0,0,0
57940000,1,-1,0,45,0,0,1,0,1,0,0,0
57988000,1,-1,0,45,0,0,1,0,1,0,0,0
58036000,1,-1,0,45,0,0,1,0,1,0,0,0
58040000,1,-1,0,45,0,0,1,0,1,0,0,0
58092000,1,-1,0,45,0,0,1,0,1,0,0,0
58140000,1,-1,0,45,0,0,1,0,1,0,0,0
58196000,1,-1,0,45,0,0,1,0,1,0,0,0
58244000,1,-1,0,45,0,0,1,0,1,0,0,0
58292000,1,-1,0,45,0,0,1,0,1,0,0,0
58340000,1,-1,0,45,0,0,1,0,1,0,0,0
58396000,1,-1,0,45,0,0,1,0,1,0,0,0
58444000,1,-1,0,45,0,0,1,0,1,0,0,0
58492000,1,-1,0,45,0,0,1,0,1,0,0,0
