timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3116000,-0.0038873432,0,0,0,0,0,0,0,0,0
3620000,-0.003535697,0,0,0,0,0,0,0,0,0
4124000,-0.0033341686,0,0,0,0,0,0,0,0,0
4628000,-0.0030596664,0,0,0,0,0,0,0,0,0
5132000,-0.0031230168,0,0,0,0,0,0,0,0,0
5636000,-0.0027395433,0,0,0,0,0,0,0,0,0
6140000,-0.0025653252,0,0,0,0,0,0,0,0,0
6644000,-0.0024624174,0,0,0,0,0,0,0,0,0
7148000,-0.0021092058,0,0,0,0,0,0,0,0,0
7652000,-0.0020745224,0,0,0,0,0,0,0,0,0
8156000,-0.0017640408,0,0,0,0,0,0,0,0,0
8660000,-0.0016915862,0,0,0,0,0,0,0,0,0
9164000,-0.0015259403,0,0,0,0,0,0,0,0,0
9584000,-0.0011498363,0,0,0,0,0,0,0,0,0
10088000,-0.0012925847,0,0,0,0,0,0,0,0,0
10592000,-0.0016782796,0,0,0,0,0,0,0,0,0
11096000,-0.0014615312,0,0,0,0,0,0,0,0,0
11600000,-0.0011953139,0,0,0,0,0,0,0,0,0
12104000,-0.0008614514,0,0,0,0,0,0,0,0,0
12608000,-0.0011031216,0,0,0,0,0,0,0,0,0
13112000,-0.0010912935,0,0,0,0,0,0,0,0,0
13616000,-0.0010722032,0,0,0,0,0,0,0,0,0
14120000,-0.00096488546,0,0,0,0,0,0,0,0,0
14624000,-0.00076031074,0,0,0,0,0,0,0,0,0
15128000,-0.00080159004,0,0,0,0,0,0,0,0,0
15632000,-0.0008145667,0,0,0,0,0,0,0,0,0
16136000,-0.0005522607,0,0,0,0,0,0,0,0,0
16640000,-0.0009030672,0,0,0,0,0,0,0,0,0
17144000,-0.0008079902,0,0,0,0,0,0,0,0,0
17648000,-0.0009270557,0,0,0,0,0,0,0,0,0
18152000,-0.0008015391,0,0,0,0,0,0,0,0,0
18656000,-0.00071652385,0,0,0,0,0,0,0,0,0
19160000,-0.000774136,0,0,0,0,0,0,0,0,0
19664000,-0.00060883537,0,0,0,0,0,0,0,0,0
20168000,-0.00089317904,0,0,0,0,0,0,0,0,0
20672000,-0.00086038327,0,0,0,0,0,0,0,0,0
21176000,-0.0009062663,0,0,0,0,0,0,0,0,0
21188000,-0.0009062663,0,0,0,0,0,0,0,0,0
21692000,-0.000993487,0,0,0,0,0,0,0,0,0
22196000,-0.0010052386,0,0,0,0,0,0,0,0,0
22700000,-0.00095091044,0,0,0,0,0,0,0,0,0
23204000,-0.0010348711,0,0,0,0,0,0,0,0,0
23708000,-0.0008961502,0,0,0,0,0,0,0,0,0
24212000,-0.0007782677,0,0,0,0,0,0,0,0,0
24716000,-0.0008659169,0,0,0,0,0,0,0,0,0
25220000,-0.0008279695,0,0,0,0,0,0,0,0,0
25724000,-0.002234417,0,0,0,0,0,0,0,0,0
26228000,-0.004127722,0,0,0,0,0,0,0,0,0
26732000,-0.008643607,0,0,0,0,0,0,0,0,0
27236000,-0.009666618,0,0,0,0,0,0,0,0,0
27740000,-0.008922195,0,0,0,0,0,0,0,0,0
28244000,-0.008724542,0,0,0,0,0,0,0,0,0
28748000,-0.008190691,0,0,0,0,0,0,0,0,0
28856000,-0.008027699,0,0,0,0,0,0,0,0,0
29360000,-0.015584808,0,0,0,0,0,0,0,0,0
29864000,-0.01976555,0,0,0,0,0,0,0,0,0
30368000,-0.018284038,0,0,0,0,0,0,0,0,0
30872000,-0.016562548,0,0,0,0,0,0,0,0,0
31376000,-0.015267737,0,0,0,0,0,0,0,0,0
31880000,-0.013762972,0,0,0,0,0,0,0,0,0
32384000,-0.012460253,0,0,0,0,0,0,0,0,0
32888000,-0.011621236,0,0,0,0,0,0,0,0,0
33392000,-0.010883474,0,0,0,0,0,0,0,0,0
33896000,-0.010030762,0,0,0,0,0,0,0,0,0
34400000,-0.0097095035,0,0,0,0,0,0,0,0,0
34904000,-0.008788801,0,0,0,0,0,0,0,0,0
35408000,-0.008166077,0,0,0,0,0,0,0,0,0
35912000,-0.0073046805,0,0,0,0,0,0,0,0,0
36416000,-0.0069464333,0,0,0,0,0,0,0,0,0
36920000,-0.0061514527,0,0,0,0,0,0,0,0,0
37424000,-0.005554189,0,0,0,0,0,0,0,0,0
37928000,-0.0051146387,0,0,0,0,0,0,0,0,0
38432000,-0.0048166,0,0,0,0,0,0,0,0,0
38936000,-0.0044882065,0,0,0,0,0,0,0,0,0
39440000,-0.004058842,0,0,0,0,0,0,0,0,0
39944000,-0.0037201508,0,0,0,0,0,0,0,0,0
40448000,-0.0032996545,0,0,0,0,0,0,0,0,0
40952000,-0.0031545614,0,0,0,0,0,0,0,0,0
41456000,-0.0027412996,0,0,0,0,0,0,0,0,0
41960000,-0.002916763,0,0,0,0,0,0,0,0,0
