timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
3400000,0.00053263153,-0.0042610588,-0.00079894916,4000,0,-0.016180204,0.1056747,-9.972499,4000,0,0,1,1
3404000,-0.00053263304,-0.0071905353,-0.00079895055,4000,0,-0.018574404,0.09729497,-9.966514,4000,0,0,1,1
3408000,-0.00026631745,-0.007190536,-0.00026631562,4000,0,-0.036530927,0.081732675,-9.965317,4000,0,0,1,1
3412000,-0.00026631582,-0.003728426,-0.0002663165,4000,0,-0.030545415,0.07455007,-9.97609,4000,0,0,1,1
3416000,-0.001065262,-0.0021305294,-0.0021305305,4000,0,-0.0042092055,0.075747184,-9.979681,4000,0,0,1,1
3420000,-0.0018642143,-0.0042610583,-0.0021305291,4000,0,-0.012588903,0.09609787,-9.966514,4000,0,0,1,1
3424000,-0.0018642173,-0.0066579017,-0.0002663148,4000,0,-0.028151214,0.09729497,-9.972499,4000,0,0,1,1
3428000,-0.0018642143,-0.0074568517,0.0002663165,4000,0,-0.020968603,0.07814137,-9.985667,4000,0,0,1,1
3432000,-0.0018642124,-0.006657903,-6.126724e-10,4000,0,-0.00899759,0.07814137,-9.977287,4000,0,0,1,1
3436000,-0.00079895084,-0.003994742,0.0010652653,4000,0,0.0053676073,0.08412687,-9.983274,4000,0,0,1,1
3440000,-0.0007989503,-0.0015978967,0.0018642123,4000,0,0.012550236,0.08652108,-9.983274,4000,0,0,1,1
3444000,-0.0013315795,-0.0023968457,0.0005326322,4000,0,0.001776293,0.09370368,-9.960527,4000,0,0,1,1
3448000,-0.0007989472,-0.0037284265,-0.00079894747,4000,0,-0.0018150063,0.09729497,-9.9713,4000,0,0,1,1
3452000,-0.00079894916,-0.0037284258,-0.00026631623,4000,0,-0.00899759,0.09849207,-9.994047,4000,0,0,1,1
3456000,-0.0005326343,-0.0037284256,0.0013315808,4000,0,-0.03054543,0.1044776,-9.98447,4000,0,0,1,1
3460000,-0.00079894875,-0.004527375,0.0018642127,4000,0,-0.016180204,0.11285731,-9.982076,4000,0,0,1,1
3464000,-0.002396842,-0.007989486,0.0013315792,4000,0,0.01733862,0.12363121,-9.995244,4000,0,0,1,1
3468000,-0.0034621076,-0.009853697,0.00079894694,4000,0,0.01733862,0.12243411,-10.003624,4000,0,0,1,1
3472000,-0.003994739,-0.007989487,-0.0002663202,4000,0,0.008958921,0.10926601,-9.985667,4000,0,0,1,1
3476000,-0.003195793,-0.0074568526,-0.00053263095,4000,0,0.0101560205,0.10806891,-9.95574,4000,0,0,1,1
3480000,-0.0015978968,-0.006924219,-0.00053262897,4000,0,-0.0054062908,0.10806891,-9.960527,4000,0,0,1,1
3484000,-0.002130528,-0.0058589554,-0.0010652664,4000,0,-0.019771518,0.08771819,-9.9713,4000,0,0,1,1
3492000,-0.00292948,-0.006657901,0.0015978977,4000,0,-0.0042092055,0.118842795,-9.97609,4000,0,0,1,1
3496000,-0.002396842,-0.00426106,-0.00026631742,4000,0,-0.016180204,0.110463105,-9.990456,4000,0,0,1,1
3500000,-0.0023968432,-0.004527376,-0.0015978968,4000,0,-0.024559902,0.08891529,-10.012005,4000,0,0,1,1
3504000,-0.0013315828,-0.0061252713,-0.0007989456,4000,0,-0.032939628,0.105674714,-10.0155945,4000,0,0,1,1
3508000,-0.0005326362,-0.004527374,0.0013315814,4000,0,-0.03054543,0.12123701,-9.997637,4000,0,0,1,1
3512000,-0.0018642152,-0.0026631616,0.0023968427,4000,0,-0.022165718,0.08652108,-9.998835,4000,0,0,1,1
3516000,-0.003728424,-0.0053263237,0.002396845,4000,0,-0.022165718,0.07574717,-10.000032,4000,0,0,1,1
3520000,-0.002663161,-0.006924218,0.002929481,4000,0,-0.00899759,0.109266,-9.978483,4000,0,0,1,1
3524000,-0.0005326286,-0.0055926396,0.0007989521,4000,0,0.0053676073,0.1200399,-9.977287,4000,0,0,1,1
3528000,-0.0010652591,-0.006125272,-0.0021305303,4000,0,0.008958936,0.09490078,-9.985667,4000,0,0,1,1
3532000,-0.000798947,-0.0047936905,-0.002396845,4000,0,0.007761836,0.07335298,-9.972499,4000,0,0,1,1
3536000,0.0015978971,-0.002396847,-0.0013315774,4000,0,-0.00899759,0.082929775,-9.965317,4000,0,0,1,1
3540000,0.0007989474,-0.0031957938,-0.0005326334,4000,0,-0.01019469,0.1044776,-9.985667,4000,0,0,1,1
3544000,-0.0018642133,-0.0045273746,-0.0005326355,4000,0,0.0005792082,0.12123701,-10.013201,4000,0,0,1,1
3548000,-0.002396848,-0.0045273737,0.0013315799,4000,0,-0.0030121058,0.116448596,-10.013201,4000,0,0,1,1
3552000,-0.002396848,-0.0037284247,0.002929477,4000,0,-0.0018150063,0.10208339,-9.98447,4000,0,0,1,1
3556000,-0.0021305287,-0.0023968462,0.0013315801,4000,0,-0.0030121058,0.081732675,-9.971302,4000,0,0,1,1
3560000,-0.0010652641,-0.0026631611,0.00079894945,4000,0,-0.0030121058,0.07215586,-9.980879,4000,0,0,1,1
3564000,-0.0007989486,-0.0047936896,0.0015978978,4000,0,0.012550236,0.08412687,-9.973698,4000,0,0,1,1
3568000,-0.00053263025,-0.0055926396,0.0005326328,4000,0,0.008958921,0.08532398,-9.95933,4000,0,0,1,1
3572000,-0.00079894724,-0.0042610588,-0.00026631696,4000,0,-0.0042092055,0.09250658,-9.958134,4000,0,0,1,1
3576000,-0.0023968464,-0.003994742,0.00053262996,4000,0,-0.020968616,0.09490078,-9.9832735,4000,0,0,1,1
3580000,-0.0023968448,-0.0069242194,0.0007989506,4000,0,-0.05329031,0.07574717,-9.99285,4000,0,0,1,1
3584000,-0.0007989452,-0.00958738,-0.0002663105,4000,0,-0.04251641,0.078141354,-9.960527,4000,0,0,1,1
3588000,-0.0002663128,-0.009853696,-0.001331579,4000,0,-0.020968603,0.1056747,-9.970104,4000,0,0,1,1
3592000,-0.00053263066,-0.008255801,-0.0015978981,4000,0,-0.031742528,0.12243411,-9.995244,4000,0,0,1,1
3596000,-0.0010652648,-0.0071905353,-0.0013315825,4000,0,-0.020968616,0.12482831,-9.982076,4000,0,0,1,1
3600000,-0.002663162,-0.0061252704,-0.0007989527,4000,0,-0.00899759,0.12363121,-9.964121,4000,0,0,1,1
3604000,-0.0042610588,-0.0042610583,-0.00053263735,4000,0,-0.014983103,0.116448596,-9.958134,4000,0,0,1,1
3608000,-0.0031957952,-0.005060005,0.00026631873,4000,0,-0.016180204,0.1056747,-9.961723,4000,0,0,1,1
3612000,-0.0015978978,-0.004793689,0.0007989508,4000,0,-0.014983103,0.1056747,-9.968906,4000,0,0,1,1
3620000,-0.0013315803,-0.005326323,-0.0018642109,4000,0,-0.0221657,0.12482831,-9.989258,4000,0,0,1,1
3624000,0.0010652617,-0.00692422,-0.0007989436,4000,0,-0.016180204,0.12363121,-9.960527,4000,0,0,1,1
3628000,0.0007989491,-0.006924219,-0.0010652654,4000,0,0.006564737,0.12243411,-9.961723,4000,0,0,1,1
3632000,-0.0013315803,-0.0061252704,-0.0010652695,4000,0,-0.0054062908,0.1152515,-9.9713,4000,0,0,1,1
3636000,0.0005326304,-0.0066579035,-0.0002663122,4000,0,-0.017377302,0.09250658,-9.948557,4000,0,0,1,1
3640000,0.0010652633,-0.007190536,0.00026631713,4000,0,-0.0054062908,0.09011239,-9.93539,4000,0,0,1,1
3644000,-0.0026631607,-0.007989486,-9.3596e-09,4000,0,0.006564737,0.111660205,-9.946163,4000,0,0,1,1
3648000,-0.0023968436,-0.009054751,-0.0005326308,4000,0,0.018535718,0.111660205,-9.96412,4000,0,0,1,1
3652000,-0.00053263444,-0.007190536,0.00026632016,4000,0,0.0077618216,0.09250658,-9.980878,4000,0,0,1,1
3656000,-0.0007989511,-0.0063915877,0.0013315799,4000,0,-0.012588903,0.09250658,-9.9916525,4000,0,0,1,1
3660000,0.00079894986,-0.0071905353,0.000798952,4000,0,-0.00899759,0.09250658,-9.986864,4000,0,0,1,1
3664000,0.00292948,-0.006657902,-0.000266311,4000,0,-0.00899759,0.07095878,-9.97609,4000,0,0,1,1
3668000,0.0015978974,-0.007989485,-0.0005326367,4000,0,-0.0066033904,0.06736744,-9.974894,4000,0,0,1,1
3672000,-1.4184857e-10,-0.008788433,-0.0005326372,4000,0,0.0041705077,0.09370368,-9.977287,4000,0,0,1,1
3676000,4.870134e-09,-0.007723167,-0.0021305296,4000,0,-0.017377302,0.09609787,-9.97609,4000,0,0,1,1
3680000,4.5627955e-09,-0.0061252713,-0.0034621095,4000,0,-0.036530927,0.075747184,-9.9713,4000,0,0,1,1
3684000,0.00053262943,-0.0053263227,-0.0015978958,4000,0,-0.025757002,0.08532398,-9.968906,4000,0,0,1,1
3688000,0.0007989435,-0.0066579035,0.0007989486,4000,0,-0.01019469,0.10208339,-9.965317,4000,0,0,1,1
3692000,0.00026631603,-0.0061252713,0.00079894735,4000,0,0.011353136,0.09849207,-9.965317,4000,0,0,1,1
3696000,-0.00079894485,-0.0055926396,-0.0010652668,4000,0,0.012550236,0.09370368,-9.961723,4000,0,0,1,1
3700000,-0.0013315796,-0.006657903,-0.0018642138,4000,0,-0.0078004897,0.09370368,-9.968906,4000,0,0,1,1
3704000,-0.0013315808,-0.0061252713,-0.0015978973,4000,0,-0.031742513,0.09011239,-9.9916525,4000,0,0,1,1
3708000,-0.0023968476,-0.0063915867,-0.0005326345,4000,0,-0.044910613,0.099689186,-9.992851,4000,0,0,1,1
3712000,-0.0015979004,-0.007723166,0.0010652671,4000,0,-0.019771501,0.118842795,-9.98806,4000,0,0,1,1
3716000,-0.00026631745,-0.007989484,0.0015979002,4000,0,0.0017763079,0.11046309,-9.968906,4000,0,0,1,1
3724000,-0.0013315789,-0.0071905362,0.00026631425,4000,0,0.0005791933,0.116448596,-9.9353895,4000,0,0,1,1
3728000,-0.0015978978,-0.004527375,0.0005326304,4000,0,-0.0066033904,0.14398195,-9.96412,4000,0,0,1,1
3732000,-0.0013315813,-0.002663161,0.00079894776,4000,0,-0.013786003,0.12123701,-9.977287,4000,0,0,1,1
3740000,-0.00053263194,-0.0034621097,-0.0005326315,4000,0,0.006564707,0.078141354,-9.966514,4000,0,0,1,1
3744000,-2.3641353e-11,-0.0053263223,-0.0007989475,4000,0,-0.018574404,0.110463105,-9.962922,4000,0,0,1,1
3748000,-0.00026631617,-0.0053263223,-0.00079894904,4000,0,-0.024559902,0.13081384,-9.952147,4000,0,0,1,1
3752000,-0.0021305296,-0.0045273746,-0.00053263566,4000,0,-0.016180204,0.11285731,-9.953345,4000,0,0,1,1
3756000,-0.0034621092,-0.00479369,-0.0010652664,4000,0,0.0041705077,0.09370368,-9.962922,4000,0,0,1,1
3760000,-0.0015978952,-0.005060008,-0.002130526,4000,0,-0.0030121058,0.1080689,-9.9677105,4000,0,0,1,1
3764000,-0.0007989482,-0.0047936905,-0.0021305282,4000,0,-0.023362802,0.118842795,-9.989258,4000,0,0,1,1
3768000,-0.0015978984,-0.005060005,-0.001331582,4000,0,-0.01019469,0.098492086,-10.01679,4000,0,0,1,1
3772000,-0.00079894834,-0.0037284263,-0.0010652641,4000,0,0.0077618216,0.07694427,-10.001229,4000,0,0,1,1
3776000,-0.0010652664,-0.0034621092,0.0005326319,4000,0,0.0029733928,0.07814137,-9.965317,4000,0,0,1,1
3780000,-0.0031957938,-0.0050600064,0.0007989465,4000,0,-0.0078004897,0.09609787,-9.94257,4000,0,0,1,1
3784000,-0.0034621055,-0.0047936933,-0.0018642138,4000,0,-0.0042092055,0.1152515,-9.949753,4000,0,0,1,1
3788000,-0.0013315813,-0.005858957,-0.0018642085,4000,0,0.006564707,0.1140544,-9.9677105,4000,0,0,1,1
3792000,-0.00053263694,-0.008255802,-0.0002663137,4000,0,0.0005791933,0.1044776,-9.964121,4000,0,0,1,1
3796000,-0.0031957992,-0.008788433,0.0015978896,4000,0,-0.00899759,0.09609787,-9.944967,4000,0,0,1,1
3800000,-0.004527378,-0.006657903,0.0021305229,4000,0,-0.01019469,0.08412687,-9.94736,4000,0,0,1,1
3804000,-0.0023968401,-0.0047936933,-0.0007989466,4000,0,-0.028151214,0.082929775,-9.974894,4000,0,0,1,1
3808000,1.8440313e-09,-0.0058589573,-0.0021305243,4000,0,-0.029348316,0.09130949,-9.977287,4000,0,0,1,1
3812000,0.001065264,-0.008255802,-0.0026631597,4000,0,0.0029734075,0.08891529,-9.958134,4000,0,0,1,1
3816000,-0.0013315785,-0.009054747,-0.003728433,4000,0,0.0017763079,0.074550085,-9.95574,4000,0,0,1,1
3820000,-0.004527374,-0.0050600017,-0.0023968567,4000,0,-0.019771501,0.07335298,-9.970104,4000,0,0,1,1
3824000,-0.004261058,-0.0015978954,-0.0013315853,4000,0,-0.03054543,0.08652108,-9.97609,4000,0,0,1,1
3832000,0.0018642108,-0.0050600064,0.00079895154,4000,0,-0.017377302,0.08652108,-9.95933,4000,0,0,1,1
3836000,5.673944e-10,-0.0071905362,0.00079894386,4000,0,0.018535718,0.082929775,-9.941374,4000,0,0,1,1
3840000,-0.0029294752,-0.0071905367,-0.0002663233,4000,0,0.01973282,0.09490078,-9.956937,4000,0,0,1,1
3844000,-0.0026631607,-0.0050600064,-0.0005326338,4000,0,0.011353136,0.1068718,-9.972499,4000,0,0,1,1
3848000,-0.00053263194,-0.0053263227,-0.0007989448,4000,0,0.024521232,0.109266,-9.97609,4000,0,0,1,1
3852000,-0.00053263485,-0.005858955,0.00053263234,4000,0,0.03409803,0.11285731,-9.978483,4000,0,0,1,1
3856000,-0.0023968504,-0.004527375,0.0029294735,4000,0,0.007761836,0.1140544,-9.9677105,4000,0,0,1,1
3860000,-0.002663161,-0.0039947433,0.002396844,4000,0,-0.017377302,0.1056747,-9.9677105,4000,0,0,1,1
3868000,-0.0010652628,-0.0053263227,-0.00079894735,4000,0,-0.025756987,0.080535576,-10.008411,4000,0,0,1,1
3872000,-0.0007989495,-0.007456852,-0.0005326311,4000,0,-0.049699012,0.081732675,-10.010806,4000,0,0,1,1
3876000,-1.6076174e-09,-0.00905475,2.2533908e-09,4000,0,-0.026954101,0.09370368,-9.997637,4000,0,0,1,1
3880000,0.0005326315,-0.008788434,0.00026631763,4000,0,0.020929918,0.09968917,-9.998835,4000,0,0,1,1
3884000,-5.6739435e-09,-0.006391588,0.0021305282,4000,0,0.041280657,0.10926601,-9.992851,4000,0,0,1,1
3888000,-0.001597902,-0.003195795,0.0034621065,4000,0,0.01374732,0.1056747,-9.983274,4000,0,0,1,1
3892000,-0.0026631583,-0.004261061,0.0015978961,4000,0,-0.01019469,0.08891529,-9.989258,4000,0,0,1,1
3896000,-0.002396842,-0.0055926405,1.4627242e-09,4000,0,-0.0078004897,0.080535576,-9.996441,4000,0,0,1,1
3900000,-0.0010652652,-0.00479369,0.0002663179,4000,0,0.0041705077,0.080535576,-9.998835,4000,0,0,1,1
3904000,-0.00026631623,-0.0042610588,0.00026631716,4000,0,0.0053676222,0.080535576,-9.996441,4000,0,0,1,1
3908000,-0.00079894625,-0.0037284263,-0.0013315815,4000,0,-0.0042092055,0.082929775,-9.990456,4000,0,0,1,1
3912000,-1.6549001e-10,-0.00559264,-0.0018642116,4000,0,-0.0042092055,0.09849207,-9.97609,4000,0,0,1,1
3916000,0.0007989435,-0.0071905362,0.00026631754,4000,0,-0.0054062908,0.1140544,-9.966514,4000,0,0,1,1
3920000,0.00053262967,-0.006125272,0.0013315803,4000,0,-0.014983103,0.12602542,-9.95574,4000,0,0,1,1
3928000,-0.00026631483,-0.008255801,0.0018642123,4000,0,-0.0221657,0.1344051,-9.980878,4000,0,0,1,1
3932000,0.00053263607,-0.0085221175,0.0005326344,4000,0,-0.037728027,0.10328049,-9.997637,4000,0,0,1,1
3936000,0.0021305266,-0.006657903,0.0013315853,4000,0,-0.020968603,0.08891529,-9.985667,4000,0,0,1,1
3940000,0.0029294777,-0.0066579026,0.0013315823,4000,0,0.0005792082,0.082929775,-9.974894,4000,0,0,1,1
3944000,0.0010652667,-0.0061252713,0.00026631245,4000,0,-0.01019469,0.07335298,-9.972499,4000,0,0,1,1
3948000,-0.00053263485,-0.0026631616,0.0013315787,4000,0,-0.023362802,0.09011239,-9.956937,4000,0,0,1,1
3952000,-0.0013315801,-0.0015978975,-9.2626284e-10,4000,0,-0.023362802,0.1152515,-9.965317,4000,0,0,1,1
3956000,-0.0018642118,-0.004793691,-0.0023968439,4000,0,-0.017377302,0.117645696,-9.98806,4000,0,0,1,1
3960000,-0.001864215,-0.006924219,-0.0021305282,4000,0,-0.023362787,0.11285731,-9.974894,4000,0,0,1,1
3964000,-0.0023968501,-0.007723166,-0.00026631702,4000,0,-0.0221657,0.09609787,-9.950951,4000,0,0,1,1
3968000,-0.0010652728,-0.008255798,0.002929481,4000,0,-0.014983103,0.09130949,-9.950951,4000,0,0,1,1
3972000,-3.4989318e-09,-0.006924218,0.0037284284,4000,0,-0.00899759,0.100886285,-9.978483,4000,0,0,1,1
3976000,-0.0018642086,-0.0050600083,0.00079894403,4000,0,-0.01019469,0.1056747,-10.004821,4000,0,0,1,1
3980000,-0.0018642104,-0.004527376,-0.00079894887,4000,0,-0.022165718,0.1056747,-10.001229,4000,0,0,1,1
3984000,-0.00026631763,-0.0055926396,2.975776e-09,4000,0,-0.016180204,0.09011239,-9.982076,4000,0,0,1,1
3988000,0.00026631565,-0.0055926396,0.00026631705,4000,0,-0.011391804,0.09729497,-9.973697,4000,0,0,1,1
3992000,0.00026631865,-0.0055926396,-0.0010652648,4000,0,-0.017377302,0.116448596,-9.978483,4000,0,0,1,1
4000000,-0.003195797,-0.0061252695,-3.1093679e-09,4000,0,0.006564737,0.110463105,-9.979681,4000,0,0,1,1
4004000,-0.0021305305,-0.006125271,0.0005326344,4000,0,-0.0030121058,0.12482831,-9.979681,4000,0,0,1,1
4008000,-0.001331579,-0.006391588,-0.00026631443,4000,0,-0.031742528,0.1152515,-9.985667,4000,0,0,1,1
4012000,-0.0005326328,-0.0063915877,1.5906285e-09,4000,0,-0.026954101,0.08652108,-9.968906,4000,0,0,1,1
4016000,-0.000532634,-0.0055926396,0.00079894817,4000,0,-0.00899759,0.06976168,-9.937783,4000,0,0,1,1
4020000,-0.0021305294,-0.003994743,0.00053262897,4000,0,-0.018574404,0.081732675,-9.93898,4000,0,0,1,1
4024000,-0.00346211,-0.0031957938,0.0007989461,4000,0,-0.029348316,0.1044776,-9.96412,4000,0,0,1,1
4028000,-0.002396847,-0.00399474,0.0023968474,4000,0,-0.024559902,0.100886285,-9.972499,4000,0,0,1,1
4036000,-0.0018642091,-0.0050600073,-0.00079894933,4000,0,-0.017377302,0.081732675,-9.95933,4000,0,0,1,1
4040000,-4.728282e-11,-0.0069242194,-0.0010652605,4000,0,-0.0030121058,0.1200399,-9.948557,4000,0,0,1,1
4044000,0.0026631604,-0.006657904,-0.00053262623,4000,0,-0.00899759,0.13081382,-9.962922,4000,0,0,1,1
4048000,0.0013315827,-0.0023968443,-0.0010652639,4000,0,-0.02815123,0.1044776,-9.985667,4000,0,0,1,1
4052000,-0.0021305287,-0.002929476,-0.002130532,4000,0,-0.022165718,0.082929775,-9.986864,4000,0,0,1,1
4056000,-0.0029294807,-0.007456851,-0.0018642107,4000,0,-0.012588903,0.078141354,-9.986864,4000,0,0,1,1
4060000,-0.0018642166,-0.0069242185,-0.0002663141,4000,0,-0.0221657,0.08532398,-10.001229,4000,0,0,1,1
4064000,-0.001065264,-0.006125272,-0.000532631,4000,0,-0.025757002,0.09609787,-9.990456,4000,0,0,1,1
