timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
19888000,19888000,1310988,1310988,1.0652736e-06,-2.0240024e-05,-6.955781e-14,0.00013639212,0.00021679746,-0.039851688,4000,4000,0,0,1,1
20388000,20388000,1310988,1310988,-2.0240017e-05,-2.130529e-05,-4.2610923e-06,0.0021640488,0.0021486862,-0.03794853,4000,4000,0,0,1,1
20888000,20888000,1310988,1310988,-2.130524e-06,-2.0240024e-05,5.326325e-06,0.0018296198,0.0019339672,-0.038163252,4000,4000,0,0,1,1
21388000,21388000,1310988,1310988,4.2610773e-06,-2.9827406e-05,1.0449037e-11,0.0014486874,0.0014333244,-0.038520243,4000,4000,0,0,1,1
21888000,21888000,1310988,1310988,-1.0652759e-06,-1.1717905e-05,9.587387e-06,0.0008793925,0.0009837397,-0.03915657,4000,4000,0,0,1,1
22388000,22388000,1310988,1310988,-0.0009214543,0.00080107833,-4.2612824e-05,0.0010025747,0.0021747362,-0.04033104,4000,4000,0,0,1,1
22888000,22888000,1310988,1310988,-0.0006370277,0.0008948226,-0.00017896453,0.0025769984,0.0031027254,-0.03845974,4000,4000,0,0,1,1
23388000,23388000,1310988,1310988,0.001206944,-0.0013102761,5.965448e-05,-5.845261e-05,-4.987333e-05,-0.045620237,4000,4000,0,0,1,1
23888000,23888000,1310988,1310988,0.00030040438,-0.00036325524,0.00013102786,-0.0010821137,-0.0011549372,-0.04259291,4000,4000,0,0,1,1
24388000,24388000,1310988,1310988,-0.0002759036,0.00015765897,9.906958e-05,-0.0020805297,-0.0020719506,-0.04216438,4000,4000,0,0,1,1
24888000,24888000,1310988,1310988,-0.00042610583,0.0004005395,4.9002105e-05,-0.0027347559,-0.002683081,-0.042263146,4000,4000,0,0,1,1
25388000,25388000,1310988,1310988,-0.0001235707,0.00015659393,3.515352e-05,-0.0030021737,-0.002653618,-0.04030396,4000,4000,0,0,1,1
25888000,25888000,1310988,1310988,5.6459055e-05,-0.00014700646,-1.06529715e-05,-0.0026198614,-0.0021755374,-0.040745247,4000,4000,0,0,1,1
26388000,26388000,1310988,1310988,-0.0007914917,0.00077764306,3.8348335e-05,-0.0018989521,-0.0016748946,-0.040982023,4000,4000,0,0,1,1
26888000,26888000,1310988,1310988,-0.00090654014,0.001038633,5.326344e-05,-0.0009896806,-0.0005166264,-0.04139435,4000,4000,0,0,1,1
27388000,27388000,1310988,1310988,-1.0653962e-06,1.3848313e-05,-0.00011078752,0.0005247711,0.0007344632,-0.04077533,4000,4000,0,0,1,1
27888000,27888000,1310988,1310988,0.00034195004,-0.00034940676,-0.00013102718,0.0018664863,0.0020618131,-0.04086535,4000,4000,0,0,1,1
28388000,28388000,1310988,1310988,0.0007211838,-0.00085540774,-7.7763834e-05,0.002715861,0.0029447067,-0.041347146,4000,4000,0,0,1,1
28888000,28888000,1310988,1310988,0.0005518066,-0.0005965485,-2.8761786e-05,0.0031266066,0.0036188152,-0.041118365,4000,4000,0,0,1,1
29388000,29388000,1310988,1310988,-0.00012250543,5.7524223e-05,-9.58758e-06,0.0031290355,0.0034201306,-0.040895667,4000,4000,0,0,1,1
29888000,29888000,1310988,1310988,-0.00039521337,0.00040586558,1.810902e-05,0.0026579867,0.0031310413,-0.041151244,4000,4000,0,0,1,1
30388000,30388000,1310988,1310988,0.0005358281,-0.00040586566,3.941464e-05,0.00034708192,0.0006525422,-0.040301796,4000,4000,0,0,1,1
30888000,30888000,1310988,1310988,7.0307484e-05,-0.0001725729,2.2370325e-05,-0.000107816406,0.00022637426,-0.04008153,4000,4000,0,0,1,1
31388000,31388000,1310988,1310988,-0.00028762172,0.0002077262,1.3848258e-05,-0.00038554397,-0.00016148649,-0.039751135,4000,4000,0,0,1,1
31888000,31888000,1310988,1310988,-0.00034834136,0.00029720902,9.587237e-06,-0.00054834964,-0.00046315597,-0.036993004,4000,4000,0,0,1,1
32388000,32388000,1310988,1310988,-1.9174753e-05,-1.0652418e-06,1.5978976e-05,-0.0004908887,-0.0004823096,-0.037629873,4000,4000,0,0,1,1
32888000,32888000,1310988,1310988,2.1305304e-05,-2.4501078e-05,5.3262966e-06,-0.00039512076,-0.000262043,-0.036882874,4000,4000,0,0,1,1
33388000,33388000,1310988,1310988,-0.0011792335,-0.0005155851,-0.004284498,-0.00029935254,-3.2199652e-05,-0.03589168,4000,4000,0,0,1,1
33888000,33888000,1310988,1310988,-0.00078509713,-0.0010194704,-0.0034929996,-0.0012330912,0.00046100596,-0.037864495,4000,4000,0,0,1,1
34388000,34388000,1310988,1310988,0.00018535659,-0.0001448759,-0.0029593052,-0.003536314,0.000341296,-0.041901127,4000,4000,0,0,1,1
34888000,34888000,1310988,1310988,0.00026205467,0.0008586038,0.0009384977,-0.0052936575,-8.487202e-05,-0.038582757,4000,4000,0,0,1,1
35388000,35388000,1310988,1310988,7.563241e-05,0.001080177,0.0004527406,-0.006442875,0.00035087275,-0.039028082,4000,4000,0,0,1,1
