timestamp,timestamp_sample,device_id,pressure,temperature,error_count
135856000,135856000,6620428,95600.625,11.829309,0
136860000,136860000,6620428,95605.02,11.832239,0
137848000,137848000,6620428,95600.07,11.829248,0
138856000,138856000,6620428,95600.836,11.830347,0
139864000,139864000,6620428,95605.29,11.831873,0
140848000,140848000,6620428,95599.13,11.828821,0
141856000,141856000,6620428,95598.1,11.827753,0
142864000,142864000,6620428,95599.45,11.828669,0
143848000,143848000,6620428,95604.0,11.832697,0
144856000,144856000,6620428,95606.9,11.832727,0
145864000,145864000,6620428,95604.44,11.832727,0
146848000,146848000,6620428,95606.04,11.832727,0
147856000,147856000,6620428,95606.414,11.832727,0
148864000,148864000,6620428,95607.85,11.832727,0
149848000,149848000,6620428,95607.05,11.832727,0
150856000,150856000,6620428,95607.16,11.832727,0
151864000,151864000,6620428,95605.19,11.832727,0
152848000,152848000,6620428,95605.65,11.832727,0
