timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
3124000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
18160000,0.0,0.0,29.0,4.0,4.0,0.0,0.0,176,1,0,255,190,1,1
19232000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
19240000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
85780000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
85804000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
85804000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
150732000,0.0,0.0,0.0,2.0,80.0,nan,487.95847,0,1,1,1,1,0,0
