timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
4340000,0.12948526,0.14952756,0.00042557716,0.0,0.0,-0.001,0
4348000,0.12937097,0.14937194,0.0004030466,0.0,0.0,-0.001,0
4364000,0.12941518,0.14897247,0.0004994273,0.0,0.0,-0.001,0
4384000,0.1292935,0.1483043,0.0005749464,0.0,0.0,-0.001,0
4404000,0.12966146,0.1477856,0.0005582571,0.0,0.0,-0.001,0
4424000,0.12979037,0.14753716,0.0006095767,0.0,0.0,-0.001,0
4444000,0.12972549,0.14749964,0.00061124563,0.0,0.0,-0.001,0
4460000,0.129923,0.1472063,0.0006750822,0.0,0.0,-0.001,0
4484000,0.12984057,0.14624536,0.0006108284,0.0,0.0,-0.001,0
4500000,0.12988871,0.14568017,0.00056910515,0.0,0.0,-0.001,0
4524000,0.12971321,0.1447178,0.0006041527,0.0,0.0,-0.001,0
4540000,0.12978436,0.14441234,0.00054740906,0.0,0.0,-0.001,0
4564000,0.12978107,0.14378999,0.000613749,0.0,0.0,-0.001,0
4584000,0.129792,0.14345637,0.00062417984,0.0,0.0,-0.001,0
4604000,0.12979591,0.14313726,0.0006558895,0.0,0.0,-0.001,0
4620000,0.12981856,0.14292905,0.0006454587,0.0,0.0,-0.001,0
4640000,0.1298052,0.14277032,0.0006467104,0.0,0.0,-0.001,0
4660000,0.1298074,0.14295292,0.0007685423,0.0,0.0,-0.001,0
4680000,0.12980722,0.1425751,0.00066673756,0.0,0.0,-0.001,0
4700000,0.12949476,0.14214711,0.0009083152,0.0,0.0,-0.001,0
4724000,0.12927744,0.14162624,0.0008419752,0.0,0.0,-0.001,0
4744000,0.12897316,0.14129265,0.0007042885,0.0,0.0,-0.001,0
4764000,0.12858438,0.14060475,0.00078231096,0.0,0.0,-0.001,0
4784000,0.12824447,0.14054652,0.00071555376,0.0,0.0,-0.001,0
4804000,0.1278035,0.14018504,0.00080025196,0.0,0.0,-0.001,0
4820000,0.12732086,0.14031647,0.0008119345,0.0,0.0,-0.001,0
4844000,0.12700333,0.1400883,0.00076019764,0.0,0.0,-0.001,0
4860000,0.12662049,0.13983889,0.00076687336,0.0,0.0,-0.001,0
4884000,0.12586461,0.13974643,0.000703454,0.0,0.0,-0.001,0
4900000,0.12557319,0.13972662,0.00066173077,0.0,0.0,-0.001,0
4920000,0.124897905,0.1397761,0.0005540848,0.0,0.0,-0.001,0
4940000,0.12415513,0.13982889,0.00052404404,0.0,0.0,-0.001,0
4964000,0.12373071,0.13953437,0.00053071976,0.0,0.0,-0.001,0
4984000,0.123191796,0.1394864,0.00048315525,0.0,0.0,-0.001,0
5004000,0.12283439,0.13935924,0.00041264296,0.0,0.0,-0.001,0
5020000,0.12250159,0.13929397,0.0005415678,0.0,0.0,-0.001,0
5044000,0.121902354,0.1390275,0.0004994273,0.0,0.0,-0.001,0
5064000,0.12164849,0.13871805,0.00055491924,0.0,0.0,-0.001,0
5084000,0.12134925,0.13869001,0.00056034327,0.0,0.0,-0.001,0
5104000,0.12091024,0.13893119,0.0005540848,0.0,0.0,-0.001,0
5124000,0.120572,0.13882023,0.0005519986,0.0,0.0,-0.001,0
5140000,0.120486565,0.13880488,0.00066298246,0.0,0.0,-0.001,0
5164000,0.120109245,0.13875198,0.0007222295,0.0,0.0,-0.001,0
5184000,0.11991803,0.13881491,0.00060373545,0.0,0.0,-0.001,0
5204000,0.11968755,0.1390482,0.00074642897,0.0,0.0,-0.001,0
5220000,0.11951386,0.13908039,0.00075143576,0.0,0.0,-0.001,0
5244000,0.119232826,0.13914475,0.0006930232,0.0,0.0,-0.001,0
5264000,0.11923517,0.13911223,0.0005862117,0.0,0.0,-0.001,0
