timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
3228000,0.0008579367,0.0010218772,0.00038851248,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3236000,0.0006740596,0.00059171114,0.00014466389,0.0,0.0,2.910383e-11,0,1,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3420000,0.00057194463,2.870796e-05,0.00040667458,0.0,0.0,0.0,0,1,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
3628000,0.01869792,0.02249351,0.00043662894,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
3820000,0.020474346,0.022568163,0.00073864456,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4020000,0.019713018,0.02213543,9.046226e-05,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4228000,0.018986419,0.02194991,-2.9743837e-06,0.0,0.0,1.0477379e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4420000,0.019303208,0.021334765,-0.00032918004,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4620000,0.019428363,0.020548584,2.2444676e-05,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4828000,0.019153295,0.019313231,0.0009912802,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5028000,0.018307382,0.018688064,-0.00010851193,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5228000,0.017265439,0.02003608,0.00034830646,0.0,0.0,-2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5428000,0.017489854,0.01941114,0.00061069895,0.0,0.0,5.820766e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5620000,0.017090175,0.019457955,0.0011414441,0.0,0.0,4.656613e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5820000,0.018235136,0.018555872,0.00068607746,0.0,0.0,1.0477379e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6020000,0.017308729,0.019115278,0.00011116605,0.0,0.0,1.0477379e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6228000,0.017671201,0.01808086,0.00014346858,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6428000,0.017419487,0.01849331,0.00048791533,0.0,0.0,1.0477379e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6628000,0.016297586,0.019859776,-1.868146e-05,0.0,0.0,-3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6828000,0.017162066,0.019713262,0.0006726593,0.0,0.0,1.0477379e-09,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7028000,0.017040811,0.019932695,0.00034414383,0.0,0.0,3.4924597e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7220000,0.017955255,0.019307734,0.00061216013,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7420000,0.018239582,0.020054948,0.00058567064,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7628000,0.018209834,0.018697318,0.00074517506,0.0,0.0,2.3283064e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7828000,0.018653443,0.0185952,0.00022015258,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
