timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
3228000,0.0,0.0,0.0,0.0
3232000,0.0,0.0,0.0,0.0
3424000,0.0,0.0,0.0,0.0
3628000,0.0,0.0,0.0,0.0
3824000,0.0,0.0,0.0,0.0
4024000,0.0,0.0,0.0,0.0
4228000,0.0,0.0,0.0,0.0
4424000,0.0,0.0,0.0,0.0
4624000,0.0,0.0,0.0,0.0
4828000,0.0,0.0,0.0,0.0
5028000,0.0,0.0,0.0,0.0
5228000,0.0,0.0,0.0,0.0
5428000,0.0,0.0,0.0,0.0
5624000,0.0,0.0,0.0,0.0
5824000,0.0,0.0,0.0,0.0
6024000,0.0,0.0,0.0,0.0
6228000,0.0,0.0,0.0,0.0
6428000,0.0,0.0,0.0,0.0
6628000,0.0,0.0,0.0,0.0
6828000,0.0,0.0,0.0,0.0
7028000,0.0,0.0,0.0,0.0
7224000,0.0,0.0,0.0,0.0
7424000,0.0,0.0,0.0,0.0
7628000,0.0,0.0,0.0,0.0
7828000,0.0,0.0,0.0,0.0
8028000,0.0,0.0,0.0,0.0
8228000,0.0,0.0,0.0,0.0
8428000,0.0,0.0,0.0,0.0
8628000,0.0,0.0,0.0,0.0
8828000,0.0,0.0,0.0,0.0
9028000,0.0,0.0,0.0,0.0
9228000,0.0,0.0,0.0,0.0
9428000,0.0,0.0,0.0,0.0
9628000,0.0,0.0,0.0,0.0
9824000,0.0,0.0,0.0,0.0
10024000,0.0,0.0,0.0,0.0
10224000,0.0,0.0,0.0,0.0
10428000,0.0,0.0,0.0,0.0
10624000,0.0,0.0,0.0,0.0
10828000,0.0,0.0,0.0,0.0
11024000,0.0,0.0,0.0,0.0
11228000,0.0,0.0,0.0,0.0
11424000,0.0,0.0,0.0,0.0
11628000,0.0,0.0,0.0,0.0
11824000,0.0,0.0,0.0,0.0
12028000,0.0,0.0,0.0,0.0
12228000,0.0,0.0,0.0,0.0
12428000,0.0,0.0,0.0,0.0
12628000,0.0,0.0,0.0,0.0
12828000,0.0,0.0,0.0,0.0
13028000,0.0,0.0,0.0,0.0
13228000,0.0,0.0,0.0,0.0
13428000,0.0,0.0,0.0,0.0
13628000,0.0,0.0,0.0,0.0
13828000,0.0,0.0,0.0,0.0
14028000,0.0,0.0,0.0,0.0
14228000,0.0,0.0,0.0,0.0
14428000,0.0,0.0,0.0,0.0
14628000,0.0,0.0,0.0,0.0
14824000,0.0,0.0,0.0,0.0
15028000,0.0029579862,0.003321757,1.7715407e-05,0.0
15228000,0.0077310163,0.008088465,3.502007e-05,0.0
15428000,0.01273619,0.012883807,5.1668652e-05,0.0
15628000,0.017691711,0.017485857,6.435933e-05,0.0
15828000,0.022567442,0.021826217,7.793787e-05,0.0
16028000,0.027506923,0.026125776,9.744503e-05,0.0
16224000,0.03232947,0.030337665,0.00012366382,0.0
16428000,0.03742692,0.034842983,0.00014328543,0.0
16624000,0.042335473,0.039243285,0.00016094714,0.0
16828000,0.04755274,0.04384322,0.00017849013,0.0
17028000,0.052748557,0.048378512,0.0001896213,0.0
17224000,0.05786623,0.052816357,0.00020799988,0.0
17428000,0.06326596,0.057355966,0.00022926576,0.0
17628000,0.06750226,0.06178348,0.0002594525,0.0
17828000,0.060900457,0.060840957,-1.0659392e-05,0.0
18028000,0.0422163,0.042464603,-0.00035179927,0.0
18228000,0.032009974,0.032385156,-0.00038180104,0.0
18428000,0.025807546,0.028254282,-0.0003731183,0.0
18628000,0.020074122,0.022770459,-0.00036626196,0.0
18828000,0.015595663,0.018519051,-0.00033888826,0.0
19028000,0.012344892,0.015656594,-0.00030346305,0.0
19228000,0.009368631,0.013124727,-0.00026225028,0.0
19428000,0.007540439,0.011294057,-0.00023957084,0.0
19628000,0.005827358,0.009632709,-0.00022012148,0.0
19828000,0.004466027,0.008499673,-0.00019744404,0.0
20024000,0.0032343096,0.0075564436,-0.00017720115,0.0
20228000,-0.00066122087,0.009950897,-0.00011802272,0.0
20428000,0.0008860361,0.0064218645,-0.00015005431,0.0
20624000,0.0005255485,0.005947659,-0.00014222917,0.0
20828000,0.0015718627,0.0032013948,-0.00031521943,0.0
21028000,3.411075e-05,0.006539285,-0.0001410983,0.0
21228000,0.002804508,0.002349052,-0.00020593619,0.0
21428000,-0.0009884385,0.0056431284,-0.00011944573,0.0
21628000,0.0037839531,0.0010418596,-0.00016976359,0.0
21828000,-0.0017185617,0.0069581126,-0.00010356743,0.0
22024000,0.0019644778,0.0028811903,-1.21130015e-05,0.0
22228000,-0.0023176838,0.0074075186,0.00010009905,0.0
22428000,-0.0009856673,0.0057599857,0.00015140344,0.0
22628000,-0.0019278405,0.006745357,0.00012727903,0.0
22828000,-0.0018879747,0.006524771,9.15851e-05,0.0
23028000,-0.00032447092,0.0045952513,4.8928912e-05,0.0
23228000,-0.0014384225,0.0057771965,-2.795787e-05,0.0
23428000,0.001687445,0.0022245508,-7.489231e-05,0.0
23628000,5.953494e-06,0.0042043263,-0.00014733658,0.0
23828000,0.004924765,-0.0006003152,-0.00020588137,0.0
24028000,0.0014773873,0.0028889223,-0.00027148417,0.0
24228000,0.006936195,-0.002599207,-0.00036330754,0.0
24428000,0.0017334768,0.0022382326,-0.00038341977,0.0
24628000,0.0075719445,-0.003076271,-0.0004875499,0.0
24828000,0.0022832742,0.001999857,-0.00049489614,0.0
25028000,0.007813936,-0.0035990963,-0.0006125731,0.0
25228000,0.001749482,0.0024768903,-0.0006476057,0.0
25428000,0.007484199,-0.0036382112,-0.00078789063,0.0
25628000,0.0015082543,0.004328484,-0.008232486,0.0
25828000,0.012153871,-0.0012222817,-0.014834309,0.0
26028000,0.0035768622,0.0023916978,-0.015485098,0.0
26228000,0.009012578,0.00016203782,-0.0144533245,0.0
26428000,0.00075032725,0.0038033442,-0.013706172,0.0
26624000,0.0074619404,0.0025698529,-0.0131415455,0.0
26828000,-0.028762009,-0.018545616,-0.025905395,0.0
27028000,-0.064532705,-0.040873155,-0.025905395,0.0
27228000,-0.064532705,-0.06315158,-0.025905395,0.0
27424000,-0.064532705,-0.08349274,-0.025905395,0.0
27628000,-0.064532705,-0.09387819,-0.025905395,0.0
27824000,-0.064532705,-0.10292738,-0.025905395,0.0
28028000,-0.064532705,-0.117233776,-0.025905395,0.0
28228000,-0.064532705,-0.121883765,-0.025905395,0.0
28428000,-0.064532705,-0.14580445,-0.025905395,0.0
28628000,-0.064532705,-0.17036484,-0.025905395,0.0
28828000,-0.064532705,-0.19597837,-0.025905395,0.0
29028000,-0.064532705,-0.20414037,-0.025905395,0.0
29228000,-0.064532705,-0.21309043,-0.025905395,0.0
29428000,-0.064532705,-0.21309043,-0.025905395,0.0
29628000,-0.064532705,-0.21309043,-0.025905395,0.0
29824000,-0.064532705,-0.21309043,-0.025905395,0.0
30028000,-0.13821574,-0.22444338,-0.025905395,0.0
30228000,-0.19496803,-0.23397775,-0.025905395,0.0
30428000,-0.22499937,-0.24291416,-0.025905395,0.0
30628000,-0.20525795,-0.24302804,-0.025905395,0.0
30828000,-0.14634405,-0.18332967,-0.025905395,0.0
31028000,-0.10414576,-0.12399553,-0.025905395,0.0
31228000,-0.07075755,-0.09096211,-0.026209816,0.0
31428000,-0.077908576,-0.07770311,-0.01490042,0.0
31628000,-0.06618712,-0.0663484,-0.005260863,0.0
31828000,-0.050555147,-0.05314083,0.00028902933,0.0
32028000,-0.039844323,-0.04139965,0.0023266484,0.0
32228000,-0.030914664,-0.0360433,0.002668712,0.0
32428000,-0.023825243,-0.026392462,0.0024839605,0.0
32628000,-0.01873055,-0.02263751,0.0021880488,0.0
32828000,-0.014396072,-0.01502675,0.0019765692,0.0
33028000,-0.011453946,-0.012980751,0.0018041437,0.0
33228000,-0.008604672,-0.007325474,0.0016620818,0.0
33428000,-0.0069977837,-0.0057572685,0.0015214541,0.0
33624000,-0.005209568,-0.0016373273,0.00139449,0.0
33828000,-0.004302536,-0.0008871384,0.001296886,0.0
34028000,-0.0030477315,0.0021842278,0.001202015,0.0
34228000,-0.0025613706,0.0024162475,0.0010894575,0.0
34428000,-0.0017375889,0.0042417916,0.0009985311,0.0
34628000,-0.0014617178,0.0044430215,0.0009086267,0.0
34828000,-0.0009901633,0.0056662043,0.0008461476,0.0
35028000,-0.0007698775,0.00546566,0.0007572725,0.0
35224000,-0.00037437995,0.0060354196,0.00069760054,0.0
35428000,-0.0002905681,0.0058301743,0.00064173434,0.0
35628000,2.8350385e-05,0.0059991125,0.0005749407,0.0
35824000,-1.9446138e-06,0.005664641,0.0005175566,0.0
36028000,-1.2203204e-05,0.005595986,0.00045745054,0.0
36224000,0.0001471999,0.0052788984,0.00042351754,0.0
36424000,4.9943974e-06,0.0053356537,0.00035942328,0.0
36624000,0.00029575053,0.004926344,0.00031470024,0.0
36828000,0.00028267244,0.004757002,0.00028160602,0.0
37028000,0.00022742854,0.004464356,0.00026463796,0.0
37228000,6.325982e-05,0.0044550453,0.00025736232,0.0
37428000,0.00017293902,0.004119631,0.00023021853,0.0
37628000,7.2619936e-05,0.004045544,0.00019411392,0.0
37824000,0.00016046339,0.0039229104,0.00017195368,0.0
38028000,-0.0001612088,0.00403197,0.00015109962,0.0
38228000,0.00014498807,0.0038062595,0.00012853362,0.0
38428000,-6.370895e-05,0.0038887274,9.4021794e-05,0.0
38628000,0.00023556204,0.0037237261,9.26244e-05,0.0
38828000,-7.5064985e-05,0.0039778715,6.336832e-05,0.0
39024000,0.00022986106,0.0038046285,5.5093722e-05,0.0
39228000,2.8783243e-05,0.003966083,4.6244968e-05,0.0
39428000,0.00019500258,0.003745328,5.373709e-05,0.0
39628000,-0.0002576864,0.0039054777,3.5272315e-05,0.0
39828000,0.00032427284,0.003893187,1.142233e-05,0.0
40024000,-6.0264065e-05,0.004015749,9.620293e-06,0.0
40224000,0.0002953747,0.003864234,1.1198531e-05,0.0
40428000,1.9563851e-05,0.0041491888,-9.44142e-06,0.0
40628000,0.00024490987,0.0038838275,1.072268e-05,0.0
40828000,-0.0001887247,0.004103131,2.5817595e-05,0.0
41028000,0.0003719392,0.003887467,1.019322e-05,0.0
41228000,-7.608124e-05,0.004209863,-9.281149e-06,0.0
41428000,0.0003106501,0.0039031084,-1.3288076e-05,0.0
41628000,-0.0001169066,0.004242938,-7.0544897e-06,0.0
41828000,0.0002856844,0.0038948602,1.0586455e-05,0.0
42028000,-0.00014891301,0.004229683,1.0494195e-05,0.0
42228000,0.00025409422,0.00389109,9.647904e-07,0.0
42428000,-8.054334e-05,0.00420052,-2.1094198e-05,0.0
42628000,0.00030580212,0.0038481487,-2.5562902e-05,0.0
42828000,-0.00015495307,0.0042180675,-1.5257878e-05,0.0
43024000,0.00032978345,0.0039175516,-9.686925e-06,0.0
43228000,-6.611027e-05,0.004244009,-2.828588e-05,0.0
43428000,0.000364963,0.0039829304,-2.0061534e-05,0.0
43628000,-0.00018946291,0.004330467,5.910998e-06,0.0
43824000,0.00028661208,0.003937829,-1.6156337e-05,0.0
44028000,-8.324556e-05,0.0043273773,-5.12005e-06,0.0
44224000,0.00032390072,0.003952967,3.965137e-06,0.0
44424000,-0.00014517737,0.0043854094,-3.1728584e-06,0.0
44628000,0.00032524945,0.004003634,-1.9447982e-05,0.0
44828000,-0.00019099582,0.004383925,-1.9500018e-05,0.0
45028000,0.0002518374,0.0040598353,-3.3433415e-05,0.0
45228000,-0.0001806852,0.004545855,-3.3187258e-05,0.0
45428000,0.00017076358,0.0040063434,-2.3779936e-05,0.0
45628000,-0.00020136774,0.004381321,-1.4354347e-05,0.0
45828000,0.00020431104,0.0040362817,-1.777368e-05,0.0
46028000,-0.00023664374,0.0044778404,-3.066119e-05,0.0
46224000,0.00020463769,0.0040774764,-1.8697017e-05,0.0
46424000,-0.00019974138,0.004484856,-2.7252956e-05,0.0
46628000,0.00013971135,0.00405068,-2.9868974e-05,0.0
46828000,-0.00029906392,0.0044096806,-2.9300754e-05,0.0
47028000,0.00013902449,0.004115169,-1.5068335e-05,0.0
47228000,-0.00016200713,0.004554597,-9.423761e-06,0.0
47428000,0.000105024505,0.004122973,-7.119029e-06,0.0
47628000,-0.00031085702,0.0044778446,-1.9090297e-05,0.0
47828000,0.00018078955,0.004150982,-3.125722e-05,0.0
48028000,-8.610882e-06,0.0045501124,-3.105554e-05,0.0
48228000,0.00015547503,0.004135336,-2.9955005e-05,0.0
48428000,-0.00030139167,0.004387842,-2.447514e-05,0.0
48628000,0.00011696015,0.004056771,-3.7609145e-05,0.0
48828000,-0.000102705526,0.0044882516,-4.350007e-05,0.0
49028000,0.000114648996,0.004113178,-5.3208558e-05,0.0
49228000,-0.0001490506,0.0043233335,-4.586676e-05,0.0
49428000,0.00014577982,0.0040205605,-3.8397106e-05,0.0
49624000,-0.00021011557,0.0044017085,-2.0290918e-05,0.0
49828000,0.00012266223,0.0041117463,-8.264305e-06,0.0
50028000,-0.00040555533,0.004761147,-1.1867172e-05,0.0
50228000,-0.0029251168,0.007361582,-4.4526473e-06,0.0
