timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3292000,0.0005463589,0,0,0,0,0,0,0,0,0
3796000,0.00038113145,0,0,0,0,0,0,0,0,0
4300000,0.00020097548,0,0,0,0,0,0,0,0,0
4804000,0.00014819951,0,0,0,0,0,0,0,0,0
5308000,-0.00016195978,0,0,0,0,0,0,0,0,0
5812000,-2.450429e-05,0,0,0,0,0,0,0,0,0
6316000,-0.00015071614,0,0,0,0,0,0,0,0,0
6820000,-0.00029286573,0,0,0,0,0,0,0,0,0
7324000,-0.00016908723,0,0,0,0,0,0,0,0,0
7828000,-0.00027340284,0,0,0,0,0,0,0,0,0
8332000,-0.00022206083,0,0,0,0,0,0,0,0,0
8836000,-0.00016467173,0,0,0,0,0,0,0,0,0
9340000,-0.00013226485,0,0,0,0,0,0,0,0,0
9844000,0.00012790445,0,0,0,0,0,0,0,0,0
9868000,0.00012790445,0,0,0,0,0,0,0,0,0
10372000,-0.00027117966,0,0,0,0,0,0,0,0,0
10876000,-0.00056744413,0,0,0,0,0,0,0,0,0
11380000,-0.00040196758,0,0,0,0,0,0,0,0,0
11884000,-0.00032383157,0,0,0,0,0,0,0,0,0
12388000,-0.00012459284,0,0,0,0,0,0,0,0,0
12892000,-0.0003537894,0,0,0,0,0,0,0,0,0
13396000,-0.00033203594,0,0,0,0,0,0,0,0,0
13900000,-0.0005942635,0,0,0,0,0,0,0,0,0
14404000,-0.0005315307,0,0,0,0,0,0,0,0,0
14908000,-0.00041792315,0,0,0,0,0,0,0,0,0
15412000,-0.0005037116,0,0,0,0,0,0,0,0,0
15916000,-0.0005478551,0,0,0,0,0,0,0,0,0
16420000,-0.00049885234,0,0,0,0,0,0,0,0,0
16924000,-0.0006596606,0,0,0,0,0,0,0,0,0
17428000,-0.0007519676,0,0,0,0,0,0,0,0,0
17932000,-0.0007610135,0,0,0,0,0,0,0,0,0
18436000,-0.00080234156,0,0,0,0,0,0,0,0,0
18940000,-0.0005459208,0,0,0,0,0,0,0,0,0
19444000,-0.00061952125,0,0,0,0,0,0,0,0,0
19948000,-0.0005972882,0,0,0,0,0,0,0,0,0
20452000,-0.00082803715,0,0,0,0,0,0,0,0,0
20956000,-0.0008134556,0,0,0,0,0,0,0,0,0
21460000,-0.0009195311,0,0,0,0,0,0,0,0,0
21964000,-0.0011257367,0,0,0,0,0,0,0,0,0
22468000,-0.00093603076,0,0,0,0,0,0,0,0,0
22972000,-0.0010344526,0,0,0,0,0,0,0,0,0
23476000,-0.0011156165,0,0,0,0,0,0,0,0,0
23980000,-0.0008767185,0,0,0,0,0,0,0,0,0
24484000,-0.00092013745,0,0,0,0,0,0,0,0,0
24988000,-0.0010293135,0,0,0,0,0,0,0,0,0
25492000,-0.0008951111,0,0,0,0,0,0,0,0,0
25996000,-0.0011394948,0,0,0,0,0,0,0,0,0
26500000,-0.0011363261,0,0,0,0,0,0,0,0,0
27004000,-0.0009134575,0,0,0,0,0,0,0,0,0
27508000,-0.0007583782,0,0,0,0,0,0,0,0,0
28012000,-0.0002326643,0,0,0,0,0,0,0,0,0
28516000,-0.00043668709,0,0,0,0,0,0,0,0,0
29020000,-0.00018257444,0,0,0,0,0,0,0,0,0
29524000,0.0001688255,0,0,0,0,0,0,0,0,0
30028000,0.00050946366,0,0,0,0,0,0,0,0,0
30532000,0.0007991603,0,0,0,0,0,0,0,0,0
31036000,0.0012812566,0,0,0,0,0,0,0,0,0
31540000,0.0013907005,0,0,0,0,0,0,0,0,0
32044000,0.0017049534,0,0,0,0,0,0,0,0,0
32548000,0.0020197236,0,0,0,0,0,0,0,0,0
33052000,0.0022032848,0,0,0,0,0,0,0,0,0
33556000,0.0021011068,0,0,0,0,0,0,0,0,0
34060000,0.0021055324,0,0,0,0,0,0,0,0,0
34564000,0.0019323562,0,0,0,0,0,0,0,0,0
35068000,0.0020266585,0,0,0,0,0,0,0,0,0
35572000,0.001955498,0,0,0,0,0,0,0,0,0
36076000,0.001963833,0,0,0,0,0,0,0,0,0
36580000,0.0018774796,0,0,0,0,0,0,0,0,0
37084000,0.0020039647,0,0,0,0,0,0,0,0,0
37588000,0.0022979698,0,0,0,0,0,0,0,0,0
38092000,0.0021997285,0,0,0,0,0,0,0,0,0
38596000,0.0021970384,0,0,0,0,0,0,0,0,0
39100000,0.0021698743,0,0,0,0,0,0,0,0,0
39604000,0.0022186108,0,0,0,0,0,0,0,0,0
40108000,0.002344185,0,0,0,0,0,0,0,0,0
40612000,0.0024210087,0,0,0,0,0,0,0,0,0
41116000,0.0022213757,0,0,0,0,0,0,0,0,0
41620000,0.0026626876,0,0,0,0,0,0,0,0,0
42124000,0.002293002,0,0,0,0,0,0,0,0,0
42628000,0.002418389,0,0,0,0,0,0,0,0,0
43132000,0.0021342065,0,0,0,0,0,0,0,0,0
43636000,0.0022442858,0,0,0,0,0,0,0,0,0
44140000,0.0023844524,0,0,0,0,0,0,0,0,0
44644000,0.002431654,0,0,0,0,0,0,0,0,0
45148000,0.0024835581,0,0,0,0,0,0,0,0,0
45652000,0.0022200053,0,0,0,0,0,0,0,0,0
46156000,0.0024944795,0,0,0,0,0,0,0,0,0
46660000,0.002330507,0,0,0,0,0,0,0,0,0
47164000,0.00225414,0,0,0,0,0,0,0,0,0
47668000,0.00199042,0,0,0,0,0,0,0,0,0
48172000,0.0019714711,0,0,0,0,0,0,0,0,0
48676000,0.001846287,0,0,0,0,0,0,0,0,0
49180000,0.0021114897,0,0,0,0,0,0,0,0,0
49684000,0.002041616,0,0,0,0,0,0,0,0,0
50188000,0.0018320417,0,0,0,0,0,0,0,0,0
50692000,0.0015300681,0,0,0,0,0,0,0,0,0
51196000,0.001553837,0,0,0,0,0,0,0,0,0
51700000,0.0015145252,0,0,0,0,0,0,0,0,0
52204000,0.0018651695,0,0,0,0,0,0,0,0,0
52708000,0.0016692166,0,0,0,0,0,0,0,0,0
53212000,0.0017743988,0,0,0,0,0,0,0,0,0
53380000,0.001844501,0,0,0,0,0,0,0,0,0
53392000,0.0018015398,0,0,0,0,0,0,0,0,0
53404000,0.0018015398,0,0,0,0,0,0,0,0,0
53908000,0.0020731178,0,0,0,0,0,0,0,0,0
54412000,0.0020290078,0,0,0,0,0,0,0,0,0
54916000,0.0024204662,0,0,0,0,0,0,0,0,0
55420000,0.002386854,0,0,0,0,0,0,0,0,0
55924000,0.0026215604,0,0,0,0,0,0,0,0,0
56428000,0.0024332828,0,0,0,0,0,0,0,0,0
56932000,0.0024294462,0,0,0,0,0,0,0,0,0
57436000,0.0021771868,0,0,0,0,0,0,0,0,0
57940000,0.00012786908,0,0,0,0,0,0,0,0,0
58444000,-0.0023009495,0,0,0,0,0,0,0,0,0
58948000,-0.0077759046,0,0,0,0,0,0,0,0,0
59452000,-0.008568792,0,0,0,0,0,0,0,0,0
59956000,-0.008143598,0,0,0,0,0,0,0,0,0
60460000,-0.0077525647,0,0,0,0,0,0,0,0,0
60868000,-0.0076220026,0,0,0,0,0,0,0,0,0
61372000,-0.01367103,0,0,0,0,0,0,0,0,0
61876000,-0.01859226,0,0,0,0,0,0,0,0,0
62380000,-0.017095622,0,0,0,0,0,0,0,0,0
62884000,-0.015751554,0,0,0,0,0,0,0,0,0
63388000,-0.014193474,0,0,0,0,0,0,0,0,0
63892000,-0.012867582,0,0,0,0,0,0,0,0,0
64396000,-0.011634422,0,0,0,0,0,0,0,0,0
64900000,-0.010456667,0,0,0,0,0,0,0,0,0
65404000,-0.009272059,0,0,0,0,0,0,0,0,0
65908000,-0.008749938,0,0,0,0,0,0,0,0,0
66412000,-0.0077188443,0,0,0,0,0,0,0,0,0
66916000,-0.0071143135,0,0,0,0,0,0,0,0,0
67420000,-0.006752502,0,0,0,0,0,0,0,0,0
67924000,-0.006767776,0,0,0,0,0,0,0,0,0
68428000,-0.006469091,0,0,0,0,0,0,0,0,0
68932000,-0.0056237895,0,0,0,0,0,0,0,0,0
69436000,-0.0051946435,0,0,0,0,0,0,0,0,0
69940000,-0.0049658557,0,0,0,0,0,0,0,0,0
70444000,-0.004329917,0,0,0,0,0,0,0,0,0
70948000,-0.003925185,0,0,0,0,0,0,0,0,0
71452000,-0.0036925308,0,0,0,0,0,0,0,0,0
71956000,-0.0037029125,0,0,0,0,0,0,0,0,0
72460000,-0.0032133593,0,0,0,0,0,0,0,0,0
72964000,-0.0026602536,0,0,0,0,0,0,0,0,0
73288000,-0.0022976513,0,0,0,0,0,0,0,0,0
73300000,-0.0022976513,0,0,0,0,0,0,0,0,0
73804000,-0.012815433,0,0,0,0,0,0,0,0,0
74308000,-0.026799113,0,0,0,0,0,0,0,0,0
74812000,-0.026109422,0,0,0,0,0,0,0,0,0
75316000,-0.023963733,0,0,0,0,0,0,0,0,0
75820000,-0.021857027,0,0,0,0,0,0,0,0,0
76324000,-0.019850025,0,0,0,0,0,0,0,0,0
76828000,-0.017755639,0,0,0,0,0,0,0,0,0
77332000,-0.39976782,0,0,0,0,0,0,0,0,0
77836000,-0.36667997,0,0,0,0,0,0,0,0,0
78340000,-0.33570188,0,0,0,0,0,0,0,0,0
78844000,-0.30803737,0,0,0,0,0,0,0,0,0
79348000,-0.28316772,0,0,0,0,0,0,0,0,0
79852000,-0.87331176,0,0,0,0,0,0,0,0,0
80356000,-0.8055141,0,0,0,0,0,0,0,0,0
80860000,-0.7368281,0,0,0,0,0,0,0,0,0
81364000,-0.67690516,0,0,0,0,0,0,0,0,0
81868000,-0.6184007,0,0,0,0,0,0,0,0,0
82372000,-0.9094763,0,0,0,0,0,0,0,0,0
82876000,-0.8237939,0,0,0,0,0,0,0,0,0
83380000,-0.74589306,0,0,0,0,0,0,0,0,0
83884000,-0.6756134,0,0,0,0,0,0,0,0,0
84388000,-0.6117409,0,0,0,0,0,0,0,0,0
84892000,-0.5546344,0,0,0,0,0,0,0,0,0
85396000,-0.5023657,0,0,0,0,0,0,0,0,0
85900000,-0.45491207,0,0,0,0,0,0,0,0,0
86404000,-0.4120204,0,0,0,0,0,0,0,0,0
