timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
3644000,1,-1,0,45,0,0,1,0,0,0,0,0
53404000,1,-1,0,45,0,0,1,0,0,0,0,0
60860000,1,-1,0,45,0,0,1,0,1,0,0,0
60868000,1,-1,0,45,0,0,1,0,1,0,0,0
73300000,1,-1,0,45,0,0,1,0,0,0,0,0
86452000,1,-1,0,45,0,0,1,0,1,0,0,0
86500000,1,-1,0,45,0,0,1,0,1,0,0,0
86556000,1,-1,0,45,0,0,1,0,1,0,0,0
86604000,1,-1,0,45,0,0,1,0,1,0,0,0
86652000,1,-1,0,45,0,0,1,0,1,0,0,0
86700000,1,-1,0,45,0,0,1,0,1,0,0,0
86756000,1,-1,0,45,0,0,1,0,1,0,0,0
86804000,1,-1,0,45,0,0,1,0,1,0,0,0
86852000,1,-1,0,45,0,0,1,0,1,0,0,0
86900000,1,-1,0,45,0,0,1,0,1,0,0,0
86908000,1,-1,0,45,0,0,1,0,1,0,0,0
86964000,1,-1,0,45,0,0,1,0,1,0,0,0
87012000,1,-1,0,45,0,0,1,0,1,0,0,0
87060000,1,-1,0,45,0,0,1,0,1,0,0,0
87108000,1,-1,0,45,0,0,1,0,1,0,0,0
87164000,1,-1,0,45,0,0,1,0,1,0,0,0
87212000,1,-1,0,45,0,0,1,0,1,0,0,0
87260000,1,-1,0,45,0,0,1,0,1,0,0,0
87308000,1,-1,0,45,0,0,1,0,1,0,0,0
87364000,1,-1,0,45,0,0,1,0,1,0,0,0
87412000,1,-1,0,45,0,0,1,0,1,0,0,0
87460000,1,-1,0,45,0,0,1,0,1,0,0,0
87508000,1,-1,0,45,0,0,1,0,1,0,0,0
87564000,1,-1,0,45,0,0,1,0,1,0,0,0
87612000,1,-1,0,45,0,0,1,0,1,0,0,0
87660000,1,-1,0,45,0,0,1,0,1,0,0,0
87708000,1,-1,0,45,0,0,1,0,1,0,0,0
87764000,1,-1,0,45,0,0,1,0,1,0,0,0
87812000,1,-1,0,45,0,0,1,0,1,0,0,0
87860000,1,-1,0,45,0,0,1,0,1,0,0,0
87908000,1,-1,0,45,0,0,1,0,1,0,0,0
87916000,1,-1,0,45,0,0,1,0,1,0,0,0
87972000,1,-1,0,45,0,0,1,0,1,0,0,0
88020000,1,-1,0,45,0,0,1,0,1,0,0,0
88068000,1,-1,0,45,0,0,1,0,1,0,0,0
88116000,1,-1,0,45,0,0,1,0,1,0,0,0
88172000,1,-1,0,45,0,0,1,0,1,0,0,0
88220000,1,-1,0,45,0,0,1,0,1,0,0,0
88268000,1,-1,0,45,0,0,1,0,1,0,0,0
88316000,1,-1,0,45,0,0,1,0,1,0,0,0
88372000,1,-1,0,45,0,0,1,0,1,0,0,0
88420000,1,-1,0,45,0,0,1,0,1,0,0,0
