timestamp,time_estimate,safe_time_estimate,valid
4300000,0.0,0.0,0
5308000,0.0,0.0,0
6316000,0.0,0.0,0
7324000,0.0,0.0,0
8332000,0.0,0.0,0
9340000,0.042771533,100.04705,1
10372000,0.016379412,100.01802,1
11380000,0.022567645,100.024826,1
12388000,0.02975936,100.03274,1
13396000,0.07049453,100.077545,1
14404000,0.047977008,100.05277,1
15412000,0.07241766,100.07966,1
16420000,0.057101756,100.06281,1
17428000,0.04943792,100.05438,1
18436000,0.037817504,100.041595,1
19444000,0.06254771,100.0688,1
20452000,0.08531526,100.09385,1
21460000,0.05487996,100.06037,1
22468000,0.049225632,100.054146,1
23476000,0.05272381,100.058,1
24484000,0.062025554,100.06823,1
25492000,0.048210956,100.05303,1
26500000,0.042111263,100.046326,1
27508000,0.051265854,100.05639,1
28516000,0.061850443,100.06804,1
29524000,0.1043908,100.11483,1
30532000,0.13605775,100.149666,1
31540000,0.11726311,100.12899,1
32548000,0.1263207,100.138954,1
33556000,0.13404481,100.147446,1
34564000,0.13711861,100.15083,1
35572000,0.1804755,100.198524,1
36580000,0.17116763,100.188286,1
37588000,0.17579502,100.193375,1
38596000,0.112220794,100.12344,1
39604000,0.13181905,100.145004,1
40612000,0.11046791,100.12151,1
41620000,0.09768769,100.10746,1
42628000,0.10649602,100.11715,1
43636000,0.11361916,100.124985,1
44644000,0.10484651,100.11533,1
45652000,0.11493094,100.12643,1
46660000,0.11535397,100.12689,1
47668000,0.10356502,100.11392,1
48676000,0.1353819,100.14892,1
49684000,0.17462468,100.192085,1
50692000,0.1237747,100.136154,1
51700000,0.1273062,100.14004,1
52708000,0.12546572,100.138016,1
53756000,0.015685579,100.01726,1
54764000,0.059742093,100.06572,1
55772000,0.032156106,100.03537,1
56780000,0.096085235,100.10569,1
57788000,0.07143311,100.078575,1
58796000,0.4476683,100.49243,1
59804000,1.4581475,101.603966,1
60812000,2.423224,102.66554,1
61820000,2.9131594,103.204475,1
62836000,3.1917691,103.51095,1
63844000,3.3882353,103.72706,1
64852000,3.5013402,103.85147,1
65860000,3.5628333,103.91911,1
66868000,3.5832713,103.9416,1
67876000,3.5869493,103.94565,1
68884000,3.5978189,103.9576,1
69932000,3.59439,103.95383,1
70940000,3.57737,103.935104,1
71948000,3.5559669,103.91156,1
72956000,3.543101,103.897415,1
74004000,3.2224867,103.54474,1
75012000,2.2540212,102.47942,1
76020000,1.2740343,101.401436,1
77028000,0.17688975,100.19458,1
78036000,0.25048363,100.275536,1
79044000,0.34352106,100.37788,1
80052000,0.59227407,100.651505,1
81060000,0.72582805,100.79841,1
82068000,0.8978079,100.98759,1
83076000,0.8312516,100.914375,1
84084000,0.7139182,100.78531,1
85092000,0.6505244,100.715576,1
86100000,0.601342,100.661476,1
87108000,0.48458087,100.533035,1
88116000,0.39477903,100.43426,1
89124000,0.3166947,100.348366,1
