timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
4480000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4492000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4504000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4516000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4528000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4540000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4552000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4564000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4576000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4588000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4600000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4612000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4624000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4636000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4648000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4660000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4672000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4684000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4696000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4708000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4720000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4732000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4744000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4756000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4768000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4780000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4792000,47.3977508,8.5456073,488.101,0.0,0.0,0.0,0.0,1,1,0,0
4804000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
4816000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
4828000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
4840000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
4852000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
4864000,47.3977508,8.5456074,488.10303,0.0,0.0,0.0,0.0,1,1,0,0
