timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
3388000,0.0,0.0,0.0,0.0
3392000,0.0,0.0,0.0,0.0
3584000,0.0,0.0,0.0,0.0
3788000,0.0,0.0,0.0,0.0
3988000,0.0,0.0,0.0,0.0
4184000,0.0,0.0,0.0,0.0
4388000,0.0,0.0,0.0,0.0
4588000,0.0,0.0,0.0,0.0
4788000,0.0,0.0,0.0,0.0
4988000,0.0,0.0,0.0,0.0
5188000,0.0,0.0,0.0,0.0
5388000,0.0,0.0,0.0,0.0
5588000,0.0,0.0,0.0,0.0
5788000,0.0,0.0,0.0,0.0
5988000,0.0,0.0,0.0,0.0
6184000,0.0,0.0,0.0,0.0
6388000,0.0,0.0,0.0,0.0
6588000,0.0,0.0,0.0,0.0
6784000,0.0,0.0,0.0,0.0
6988000,0.0,0.0,0.0,0.0
7188000,0.0,0.0,0.0,0.0
7388000,0.0,0.0,0.0,0.0
7588000,0.0,0.0,0.0,0.0
7788000,0.0,0.0,0.0,0.0
7988000,0.0,0.0,0.0,0.0
8184000,0.0,0.0,0.0,0.0
8384000,0.0,0.0,0.0,0.0
8588000,0.0,0.0,0.0,0.0
8788000,0.0,0.0,0.0,0.0
8984000,0.0,0.0,0.0,0.0
9188000,0.0,0.0,0.0,0.0
9388000,0.0,0.0,0.0,0.0
9588000,0.0,0.0,0.0,0.0
9788000,0.0,0.0,0.0,0.0
9984000,0.0,0.0,0.0,0.0
10188000,0.0,0.0,0.0,0.0
10388000,0.0,0.0,0.0,0.0
10588000,0.0,0.0,0.0,0.0
10788000,0.0,0.0,0.0,0.0
10988000,0.0,0.0,0.0,0.0
11188000,0.0,0.0,0.0,0.0
11388000,0.0,0.0,0.0,0.0
11588000,0.0,0.0,0.0,0.0
11788000,0.0,0.0,0.0,0.0
11988000,0.0,0.0,0.0,0.0
12188000,0.0,0.0,0.0,0.0
12388000,0.0,0.0,0.0,0.0
12588000,0.0,0.0,0.0,0.0
12784000,0.0,0.0,0.0,0.0
12984000,0.0,0.0,0.0,0.0
13188000,0.0,0.0,0.0,0.0
13388000,0.0,0.0,0.0,0.0
13588000,0.0,0.0,0.0,0.0
13788000,0.0,0.0,0.0,0.0
13988000,0.0,0.0,0.0,0.0
14184000,0.0,0.0,0.0,0.0
14388000,0.0,0.0,0.0,0.0
14588000,0.0,0.0,0.0,0.0
14788000,0.0,0.0,0.0,0.0
14984000,0.0,0.0,0.0,0.0
15188000,0.0,0.0,0.0,0.0
15388000,0.0,0.0,0.0,0.0
15588000,0.0,0.0,0.0,0.0
15788000,0.0,0.0,0.0,0.0
15988000,0.0,0.0,0.0,0.0
16184000,0.0,0.0,0.0,0.0
16388000,0.0,0.0,0.0,0.0
16588000,0.0,0.0,0.0,0.0
16788000,0.0,0.0,0.0,0.0
16984000,0.0,0.0,0.0,0.0
17188000,0.0,0.0,0.0,0.0
17388000,0.0,0.0,0.0,0.0
17588000,0.0,0.0,0.0,0.0
17784000,0.0,0.0,0.0,0.0
17988000,0.0,0.0,0.0,0.0
18188000,0.0,0.0,0.0,0.0
18388000,0.0,0.0,0.0,0.0
18588000,0.0,0.0,0.0,0.0
18784000,0.0,0.0,0.0,0.0
18984000,0.0,0.0,0.0,0.0
19188000,0.0,0.0,0.0,0.0
19388000,0.0,0.0,0.0,0.0
19588000,0.0,0.0,0.0,0.0
19788000,0.0,0.0,0.0,0.0
19988000,0.0,0.0,0.0,0.0
20184000,0.0,0.0,0.0,0.0
20388000,0.0,0.0,0.0,0.0
20588000,0.0,0.0,0.0,0.0
20784000,0.0,0.0,0.0,0.0
20988000,0.0,0.0,0.0,0.0
21188000,0.0,0.0,0.0,0.0
21388000,0.0,0.0,0.0,0.0
21588000,0.0,0.0,0.0,0.0
21788000,0.0,0.0,0.0,0.0
21984000,0.0,0.0,0.0,0.0
22184000,0.0,0.0,0.0,0.0
22388000,0.0,0.0,0.0,0.0
22588000,0.0,0.0,0.0,0.0
22788000,0.0,0.0,0.0,0.0
22988000,0.0,0.0,0.0,0.0
23188000,0.0,0.0,0.0,0.0
23384000,0.0,0.0,0.0,0.0
23588000,0.0,0.0,0.0,0.0
23788000,0.0,0.0,0.0,0.0
23988000,0.0,0.0,0.0,0.0
24188000,0.0,0.0,0.0,0.0
24388000,0.0,0.0,0.0,0.0
24584000,0.0,0.0,0.0,0.0
24788000,0.0,0.0,0.0,0.0
24988000,0.0,0.0,0.0,0.0
25188000,0.0,0.0,0.0,0.0
25388000,0.0,0.0,0.0,0.0
25584000,0.0,0.0,0.0,0.0
25788000,0.0,0.0,0.0,0.0
25988000,0.0,0.0,0.0,0.0
26188000,0.0,0.0,0.0,0.0
26388000,0.0,0.0,0.0,0.0
26588000,0.0,0.0,0.0,0.0
26788000,0.0,0.0,0.0,0.0
26988000,0.0,0.0,0.0,0.0
27188000,0.0,0.0,0.0,0.0
27384000,0.0,0.0,0.0,0.0
27588000,0.0,0.0,0.0,0.0
27788000,0.0,0.0,0.0,0.0
27984000,0.0,0.0,0.0,0.0
28188000,0.0,0.0,0.0,0.0
28388000,0.0,0.0,0.0,0.0
28588000,0.0,0.0,0.0,0.0
28788000,0.0,0.0,0.0,0.0
28988000,0.0,0.0,0.0,0.0
29188000,0.0,0.0,0.0,0.0
29388000,0.0,0.0,0.0,0.0
29584000,0.0,0.0,0.0,0.0
29788000,0.0,0.0,0.0,0.0
29988000,0.0,0.0,0.0,0.0
30184000,0.0,0.0,0.0,0.0
30384000,0.0,0.0,0.0,0.0
30588000,0.0,0.0,0.0,0.0
30788000,0.0,0.0,0.0,0.0
30988000,0.0,0.0,0.0,0.0
31188000,0.0,0.0,0.0,0.0
31384000,0.0,0.0,0.0,0.0
31588000,0.0,0.0,0.0,0.0
31788000,0.0,0.0,0.0,0.0
31988000,0.0,0.0,0.0,0.0
32184000,0.0,0.0,0.0,0.0
32388000,0.0,0.0,0.0,0.0
32588000,0.0,0.0,0.0,0.0
32784000,0.0,0.0,0.0,0.0
32988000,0.0,0.0,0.0,0.0
33188000,0.0,0.0,0.0,0.0
33388000,0.0,0.0,0.0,0.0
33584000,0.0,0.0,0.0,0.0
33788000,0.0,0.0,0.0,0.0
33988000,0.0,0.0,0.0,0.0
34188000,0.0,0.0,0.0,0.0
34388000,0.0,0.0,0.0,0.0
34588000,0.0,0.0,0.0,0.0
34788000,0.0,0.0,0.0,0.0
34984000,0.0,0.0,0.0,0.0
35188000,0.0,0.0,0.0,0.0
35388000,0.0,0.0,0.0,0.0
35584000,0.0,0.0,0.0,0.0
35784000,0.0,0.0,0.0,0.0
35988000,0.0,0.0,0.0,0.0
36184000,0.0,0.0,0.0,0.0
36388000,0.0,0.0,0.0,0.0
36584000,0.0,0.0,0.0,0.0
36788000,0.0,0.0,0.0,0.0
36984000,0.0,0.0,0.0,0.0
37188000,0.0,0.0,0.0,0.0
37388000,0.0,0.0,0.0,0.0
37588000,0.0,0.0,0.0,0.0
37784000,0.0,0.0,0.0,0.0
37988000,0.0,0.0,0.0,0.0
38188000,0.0,0.0,0.0,0.0
38384000,0.0,0.0,0.0,0.0
38584000,0.0,0.0,0.0,0.0
38784000,0.0,0.0,0.0,0.0
38988000,0.0,0.0,0.0,0.0
39188000,0.0,0.0,0.0,0.0
39388000,0.0,0.0,0.0,0.0
39588000,0.0,0.0,0.0,0.0
39784000,0.0,0.0,0.0,0.0
39984000,0.0,0.0,0.0,0.0
40184000,0.0,0.0,0.0,0.0
40384000,0.0,0.0,0.0,0.0
40584000,0.0,0.0,0.0,0.0
40788000,0.0,0.0,0.0,0.0
40988000,0.0,0.0,0.0,0.0
41188000,0.0,0.0,0.0,0.0
41388000,0.0,0.0,0.0,0.0
