timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8]
3388000,3388000,0.0003782765,0.001371923,-0.00022346692,-0.0,0.0,0.0,0.0,0.0,0.0
3392000,3392000,0.00020570307,0.0009608809,-6.552972e-05,-0.0,0.0,0.0,0.0,0.0,0.0
3440000,3440000,0.00027336527,0.00034534815,2.4839957e-05,-0.0,0.0,0.0,0.0,0.0,0.0
3484000,3484000,0.0008732764,0.00210733,-0.00022602342,-0.0,0.0,0.0,0.0,0.0,0.0
3536000,3536000,1.2769553e-05,0.00046821384,0.00010235891,-0.0,0.0,0.0,0.0,0.0,0.0
3584000,3584000,-0.0006817591,-0.0002027427,0.00011095158,-0.0,0.0,0.0,0.0,0.0,0.0
3636000,3636000,0.020040799,0.02272874,0.003323872,0.001,0.0,0.0,0.0,0.0,0.0
3684000,3684000,0.02008539,0.022810683,-1.3328856e-05,0.001,0.0,0.0,0.0,0.0,0.0
3736000,3736000,0.020320812,0.023174522,-2.9658224e-05,0.001,0.0,0.0,0.0,0.0,0.0
3788000,3788000,0.019910295,0.02281291,0.00028691752,0.001,0.0,0.0,0.0,0.0,0.0
3840000,3840000,0.019598132,0.023839274,2.6024833e-05,0.001,0.0,0.0,0.0,0.0,0.0
3884000,3884000,0.019481432,0.023490455,7.392365e-05,0.001,0.0,0.0,0.0,0.0,0.0
3940000,3940000,0.019733874,0.023992212,0.00024331818,0.001,0.0,0.0,0.0,0.0,0.0
3988000,3988000,0.020561675,0.024565795,-0.0002914799,0.001,0.0,0.0,0.0,0.0,0.0
4040000,4040000,0.019409925,0.023908103,0.00013613835,0.001,0.0,0.0,0.0,0.0,0.0
4088000,4088000,0.019938767,0.0239342,7.612458e-05,0.001,0.0,0.0,0.0,0.0,0.0
4136000,4136000,0.0200131,0.022995915,-6.2068044e-05,0.001,0.0,0.0,0.0,0.0,0.0
4184000,4184000,0.02001389,0.024507169,0.000424698,0.001,0.0,0.0,0.0,0.0,0.0
4240000,4240000,0.020065622,0.022762522,0.0005788689,0.001,0.0,0.0,0.0,0.0,0.0
4288000,4288000,0.020054925,0.023278156,0.00043968865,0.001,0.0,0.0,0.0,0.0,0.0
4340000,4340000,0.019678116,0.024571272,0.0001432988,0.001,0.0,0.0,0.0,0.0,0.0
4388000,4388000,0.02067,0.023503754,0.00020248028,0.001,0.0,0.0,0.0,0.0,0.0
4440000,4440000,0.019665034,0.023012483,0.000606375,0.001,0.0,0.0,0.0,0.0,0.0
4488000,4488000,0.019053226,0.022602566,0.0006274002,0.001,0.0,0.0,0.0,0.0,0.0
4540000,4540000,0.019379614,0.022541376,-3.8608607e-05,0.001,0.0,0.0,0.0,0.0,0.0
4588000,4588000,0.019568132,0.022172835,0.0006516012,0.001,0.0,0.0,0.0,0.0,0.0
4640000,4640000,0.020212265,0.021741249,0.00023278977,0.001,0.0,0.0,0.0,0.0,0.0
4688000,4688000,0.019045118,0.021863218,-0.00010819694,0.001,0.0,0.0,0.0,0.0,0.0
4740000,4740000,0.01892907,0.02095325,-0.00055240333,0.001,0.0,0.0,0.0,0.0,0.0
4788000,4788000,0.019263143,0.02186064,0.000101135636,0.001,0.0,0.0,0.0,0.0,0.0
4840000,4840000,0.019632526,0.02216838,0.0005813499,0.001,0.0,0.0,0.0,0.0,0.0
4888000,4888000,0.019011738,0.021407107,0.00041010903,0.001,0.0,0.0,0.0,0.0,0.0
4940000,4940000,0.018696247,0.020222528,-4.6810786e-05,0.001,0.0,0.0,0.0,0.0,0.0
4988000,4988000,0.017606389,0.020638969,0.00042987335,0.001,0.0,0.0,0.0,0.0,0.0
5036000,5036000,0.017705359,0.020464716,0.00029811915,0.001,0.0,0.0,0.0,0.0,0.0
5088000,5088000,0.01932485,0.021260358,0.00011103208,0.001,0.0,0.0,0.0,0.0,0.0
5140000,5140000,0.019449016,0.019545104,0.0004393386,0.001,0.0,0.0,0.0,0.0,0.0
5188000,5188000,0.018175839,0.020221999,0.000111626905,0.001,0.0,0.0,0.0,0.0,0.0
5240000,5240000,0.018753566,0.020234292,1.1017604e-05,0.001,0.0,0.0,0.0,0.0,0.0
5288000,5288000,0.01744607,0.021426544,0.00029781772,0.001,0.0,0.0,0.0,0.0,0.0
5340000,5340000,0.016422575,0.019752664,0.0004634784,0.001,0.0,0.0,0.0,0.0,0.0
