timestamp,load,ram_usage
4256000,0.14,0.16320205
4756000,0.06,0.16590987
5256000,0.15686275,0.16592138
5756000,0.18,0.16601163
6256000,0.16,0.16601592
6756000,0.18,0.16602057
7256000,0.2,0.16574907
7756000,0.14,0.16580957
8256000,0.18,0.16580774
8756000,0.16,0.1658512
9256000,0.12,0.16585587
9756000,0.14,0.16585085
10256000,0.14,0.16580321
10756000,0.18,0.16580455
11256000,0.2,0.16575643
11756000,0.16,0.16576304
12256000,0.14,0.16575998
12756000,0.2,0.16584949
13256000,0.14,0.16585463
13756000,0.16,0.16586909
14256000,0.16,0.16586713
14756000,0.18,0.16587044
15256000,0.16,0.16587484
15756000,0.18,0.16587913
16256000,0.18,0.16587742
16756000,0.16,0.1658806
17256000,0.18,0.16589443
17756000,0.16,0.16588145
18256000,0.14,0.1658872
18756000,0.2,0.16589713
19256000,0.16,0.1658953
19756000,0.14,0.16588955
20256000,0.14,0.16591023
20756000,0.18,0.16590558
21256000,0.2,0.16590375
21756000,0.16,0.16590302
22256000,0.18,0.16590264
22756000,0.16,0.16591856
23256000,0.18,0.165916
23756000,0.16,0.16591243
24256000,0.18,0.16591072
24756000,0.14,0.16591159
25256000,0.18,0.16589934
25756000,0.18,0.16588978
26256000,0.18,0.16588648
26756000,0.18,0.16588354
27256000,0.16,0.1658888
27756000,0.1764706,0.16588525
28256000,0.1632653,0.16590607
28756000,0.16,0.16588905
29256000,0.16,0.16591746
29756000,0.14,0.16591257
30256000,0.18,0.16591121
30756000,0.16,0.1659057
31256000,0.2,0.16591759
31756000,0.18,0.16592224
32256000,0.15686275,0.1659749
32756000,0.16,0.16595371
33256000,0.18,0.1659509
33756000,0.14,0.16594759
34256000,0.16,0.1659466
34756000,0.18,0.16594158
35256000,0.2,0.16594563
35756000,0.18,0.16593522
36256000,0.2,0.1659384
36756000,0.16,0.1659351
37256000,0.2,0.16594195
37756000,0.18,0.1659362
38256000,0.16,0.16593522
38756000,0.16,0.1659297
39256000,0.18,0.16594625
39756000,0.16,0.1659553
40256000,0.16,0.16595174
40756000,0.18,0.16597183
41256000,0.18,0.16597845
41756000,0.18,0.16601151
42256000,0.16,0.16601813
42756000,0.18,0.16603526
43256000,0.16,0.16604935
43756000,0.18,0.16641489
44256000,0.18,0.16641428
44756000,0.1,0.1664084
45256000,0.16,0.16644685
45756000,0.1,0.16646264
46256000,0.16,0.1664569
46756000,0.12,0.16647515
47256000,0.18,0.16648029
47756000,0.12,0.16625227
48256000,0.18,0.16626096
48756000,0.12,0.1660093
49256000,0.16,0.16597293
49756000,0.18,0.16599424
50256000,0.16,0.16600563
50756000,0.18,0.16601004
51256000,0.16,0.16600624
51756000,0.18,0.16571124
52256000,0.18,0.16574578
52756000,0.2,0.16576573
53256000,0.18,0.16576475
53756000,0.18,0.16571602
54256000,0.16,0.16570242
54756000,0.18,0.16573904
55256000,0.18,0.16567352
55756000,0.18,0.16555008
56256000,0.2,0.16556613
56756000,0.18,0.16560225
57256000,0.16,0.16560164
57756000,0.16,0.1656336
58256000,0.16,0.16562368
58756000,0.18,0.16561878
59256000,0.16,0.16561732
59756000,0.16,0.16340387
60256000,0.18,0.16340889
60756000,0.18,0.16341244
61256000,0.14,0.16340289
61756000,0.18,0.16339774
62256000,0.16,0.1633942
62756000,0.18,0.16339089
63256000,0.14,0.16338855
63756000,0.14,0.16339125
64256000,0.18,0.16338782
64756000,0.16,0.16339162
65256000,0.18,0.16336627
65756000,0.2,0.16336223
66256000,0.18,0.16336076
66756000,0.2,0.16335475
67256000,0.16,0.16336137
67756000,0.2,0.16336358
68256000,0.18,0.16336346
68756000,0.16,0.16336381
69256000,0.18,0.16336174
69756000,0.1764706,0.16335574
70256000,0.18367347,0.16337705
70756000,0.12,0.16337202
71256000,0.18,0.1633463
71756000,0.18,0.16339113
72256000,0.16,0.16340448
72756000,0.18,0.16341366
73256000,0.14,0.16341941
73756000,0.16,0.1634302
74256000,0.16,0.16342811
74756000,0.15686275,0.16345273
75256000,0.16,0.16344954
75756000,0.14,0.16343398
76256000,0.18,0.16344574
76756000,0.16,0.16344243
77256000,0.16,0.16348566
77756000,0.18,0.16348211
78256000,0.2,0.1634842
78756000,0.18,0.16348273
79256000,0.14,0.16348113
79756000,0.18,0.1634766
80256000,0.18,0.1634744
80756000,0.16,0.1634766
81256000,0.14,0.1634733
81756000,0.16,0.16347735
82256000,0.16,0.16347697
82756000,0.2,0.16347073
83256000,0.16,0.16347526
83756000,0.18,0.16347721
84256000,0.14,0.16345224
84756000,0.18,0.16344722
85256000,0.14,0.16344684
85756000,0.16,0.16344844
86256000,0.14,0.1634482
86756000,0.14,0.16344623
87256000,0.14,0.16345003
87756000,0.18,0.16344452
88256000,0.16,0.16345628
88756000,0.18,0.16352792
89256000,0.2,0.1635398
