timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
3844000,3844000,197388,0.012772626,-0.2212872,0.4299018,11.832727,0
4852000,4852000,197388,0.007850355,-0.21883255,0.42611477,11.832727,0
5848000,5848000,197388,0.012295851,-0.2209196,0.42892036,11.832727,0
6844000,6844000,197388,0.006286981,-0.22103934,0.43089572,11.832727,0
7852000,7852000,197388,0.007913508,-0.21455872,0.42960358,11.832727,0
8844000,8844000,197388,0.014794481,-0.2161152,0.41936767,11.832727,0
9844000,9844000,197388,0.0053058416,-0.21631216,0.42225766,11.832727,0
10852000,10852000,197388,0.0050657233,-0.22007862,0.4200129,11.832727,0
11844000,11844000,197388,0.012685668,-0.21182558,0.43093848,11.832727,0
12844000,12844000,197388,0.0141857015,-0.21868479,0.42904714,11.832727,0
13852000,13852000,197388,0.0026499077,-0.21814485,0.41912282,11.832727,0
14848000,14848000,197388,0.015088921,-0.22362998,0.42957672,11.832727,0
15844000,15844000,197388,0.006707706,-0.21876487,0.4312523,11.832727,0
16852000,16852000,197388,0.010399772,-0.2120818,0.42802104,11.832727,0
17848000,17848000,197388,-0.009661602,-0.20160738,0.43190715,11.832239,0
18844000,18844000,197388,0.009835398,-0.2246074,0.42712295,11.828608,0
19852000,19852000,197388,0.00927732,-0.21646446,0.426688,11.824121,0
20844000,20844000,197388,0.01064029,-0.21226238,0.42863563,11.820276,0
21844000,21844000,197388,0.008779542,-0.21004684,0.4242299,11.8189335,0
22852000,22852000,197388,0.0079377005,-0.21044105,0.42708343,11.817835,0
23848000,23848000,197388,0.011044976,-0.21111658,0.42910463,11.817011,0
24844000,24844000,197388,0.009139598,-0.2235288,0.4338956,11.816523,0
25852000,25852000,197388,0.0071396823,-0.22092758,0.42639157,11.816217,0
26848000,26848000,197388,0.010898117,-0.21158916,0.42857146,11.816004,0
27844000,27844000,197388,0.0042715925,-0.21163541,0.43020326,11.815851,0
28852000,28852000,197388,0.0044548805,-0.21324188,0.42716745,11.815638,0
29848000,29848000,197388,0.01874399,-0.22350839,0.42900598,11.8163395,0
30844000,30844000,197388,0.015355078,-0.21472533,0.43138453,11.820673,0
31852000,31852000,197388,0.009160979,-0.21581116,0.42894635,11.825098,0
32844000,32844000,197388,0.006134472,-0.21556713,0.43250716,11.829462,0
33844000,33844000,197388,0.014470214,-0.20805694,0.43009412,11.832026,0
34852000,34852000,197388,0.013808104,-0.21233599,0.4277572,11.829828,0
35844000,35844000,197388,0.004418501,-0.22165634,0.43181294,11.83169,0
36844000,36844000,197388,0.008606232,-0.21826053,0.4279903,11.832727,0
37852000,37852000,197388,0.014444206,-0.2219684,0.4293211,11.832727,0
38844000,38844000,197388,0.010879442,-0.22064127,0.42926037,11.832727,0
39840000,39840000,197388,0.008134111,-0.21457052,0.4323575,11.832727,0
40852000,40852000,197388,0.008013877,-0.21308586,0.42849195,11.832727,0
41848000,41848000,197388,0.0107197035,-0.21559559,0.43071023,11.832727,0
42844000,42844000,197388,0.015477917,-0.2163964,0.4280656,11.832727,0
43852000,43852000,197388,0.015123587,-0.21972884,0.42758408,11.832727,0
