timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
9368000,9311272,197388,0.009616937,-0.2157369,0.42929095,0
9384000,9384000,197388,0.009882825,-0.21970929,0.42788473,0
9512000,9453818,197388,0.008310146,-0.21650375,0.4296604,0
9528000,9528000,197388,0.017221972,-0.21432026,0.43140075,0
9660000,9599636,197388,0.0072504217,-0.21659648,0.43086743,0
9672000,9672000,197388,0.0024552415,-0.21637517,0.42805517,0
9800000,9742909,197388,0.010186306,-0.2153829,0.42767844,0
9816000,9816000,197388,0.014399681,-0.21430264,0.42608076,0
9948000,9887272,197388,0.008567432,-0.21576384,0.42689255,0
9960000,9960000,197388,0.0139725655,-0.21294738,0.4286481,0
10088000,10030909,197388,0.009170877,-0.21859393,0.4307898,0
10104000,10104000,197388,0.0069226515,-0.21389633,0.42702276,0
10232000,10174545,197388,0.009803575,-0.21572125,0.42899126,0
10248000,10248000,197388,0.010689744,-0.21604267,0.4258592,0
10380000,10318181,197388,0.009633791,-0.21528813,0.4297733,0
10392000,10392000,197388,0.011111036,-0.22134462,0.43934295,0
10524000,10463636,197388,0.010994737,-0.21399757,0.4289616,0
10536000,10536000,197388,0.0069550234,-0.21552995,0.42856655,0
10664000,10606545,197388,0.00923403,-0.21640186,0.4289275,0
10680000,10680000,197388,0.008294021,-0.2093563,0.42568246,0
10808000,10749454,197388,0.008924467,-0.21539706,0.4313108,0
10824000,10824000,197388,0.014215811,-0.2119526,0.4265217,0
10956000,10895272,197388,0.008561607,-0.21529162,0.42794567,0
10968000,10968000,197388,0.00792688,-0.21776776,0.4320095,0
11096000,11038545,197388,0.009046537,-0.21635327,0.4294171,0
11112000,11112000,197388,0.006031785,-0.20963287,0.42558298,0
11244000,11182181,197388,0.009433994,-0.21713571,0.4317294,0
11256000,11256000,197388,0.012335279,-0.21458977,0.42900816,0
11384000,11326909,197388,0.008932024,-0.21722558,0.42986134,0
11400000,11400000,197388,0.011361385,-0.21231918,0.4315282,0
11532000,11470909,197388,0.010475494,-0.2160039,0.42945525,0
11544000,11544000,197388,0.0036344815,-0.21531874,0.43019143,0
11676000,11614545,197388,0.008963344,-0.21579184,0.42916283,0
11688000,11688000,197388,0.014233502,-0.2174245,0.42657566,0
11820000,11759272,197388,0.007473845,-0.21521287,0.42940903,0
11832000,11832000,197388,0.014352168,-0.2186129,0.42900628,0
11964000,11902909,197388,0.009521894,-0.21451259,0.42944154,0
11976000,11976000,197388,0.007698201,-0.21115062,0.42961368,0
12104000,12046545,197388,0.009994189,-0.2152944,0.4272869,0
12120000,12120000,197388,0.0047616363,-0.20755473,0.4311612,0
12252000,12190545,197388,0.008402842,-0.2155394,0.4285234,0
12264000,12264000,197388,0.009083634,-0.21734974,0.42223367,0
12396000,12335272,197388,0.010474645,-0.21794608,0.42930883,0
12408000,12408000,197388,0.0037972124,-0.22030762,0.42872402,0
12540000,12479272,197388,0.009739732,-0.21834199,0.42894208,0
12552000,12552000,197388,0.012176097,-0.21413982,0.42755336,0
12684000,12622909,197388,0.010735055,-0.21555851,0.42782515,0
12696000,12696000,197388,0.013932921,-0.21851276,0.4245472,0
12828000,12766545,197388,0.0096336,-0.21626306,0.4287498,0
12840000,12840000,197388,0.012623851,-0.21337263,0.4262542,0
12972000,12912000,197388,0.008602196,-0.216248,0.42769876,0
12984000,12984000,197388,0.005921521,-0.21340752,0.42840385,0
13112000,13054545,197388,0.008033385,-0.21460673,0.4305449,0
13128000,13128000,197388,0.012069772,-0.22282352,0.42681795,0
13260000,13200000,197388,0.010813228,-0.2156862,0.42698002,0
13272000,13272000,197388,0.011553577,-0.216384,0.4315438,0
13400000,13343636,197388,0.007920369,-0.21685681,0.4291888,0
13416000,13416000,197388,0.012132491,-0.21428783,0.43350455,0
13544000,13486545,197388,0.010340862,-0.21758828,0.4320044,0
13560000,13560000,197388,0.0035152219,-0.21214664,0.43179622,0
13688000,13629818,197388,0.009249259,-0.2172296,0.42972323,0
