timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
22508000,22508000,1310988,1310988,-1.0652795e-06,3.7284266e-05,-1.7044214e-05,-0.00076614454,0.0007038961,-0.039379835,4000,4000,0,0,0,1
23008000,23008000,1310988,1310988,-2.5566329e-05,3.195794e-05,1.0652682e-05,-0.00071347214,0.0008236062,-0.039279275,4000,4000,0,0,0,1
23508000,23508000,1310988,1310988,-3.408843e-05,-5.9654823e-05,-1.0652717e-05,-0.00052193605,0.0006464352,-0.039504327,4000,4000,0,0,0,1
24008000,24008000,1310988,1310988,-9.587381e-06,-3.834952e-05,-1.2783172e-05,-0.00063685764,0.0006655889,-0.03961925,4000,4000,0,0,0,1
24508000,24508000,1310988,1310988,1.491375e-05,-0.00010120012,-8.522161e-06,-0.00060812733,0.00068474247,-0.03945645,4000,4000,0,0,0,1
25008000,25008000,1310988,1310988,8.522122e-06,-1.2783179e-05,6.391574e-06,-0.00068953016,0.0007469917,-0.03942293,4000,4000,0,0,0,1
25508000,25508000,1310988,1310988,-2.2370557e-05,-1.100841e-11,-3.1957977e-06,-0.00068953016,0.00073262653,-0.03959053,4000,4000,0,0,0,1
26008000,26008000,1310988,1310988,-8.522126e-06,-1.810949e-05,6.391598e-06,-0.0006655882,0.0007374149,-0.039379835,4000,4000,0,0,0,1
26508000,26508000,1310988,1310988,1.7044209e-05,-5.5393764e-05,1.1717896e-05,-0.0007613562,0.0007565685,-0.03953785,4000,4000,0,0,0,1
27008000,27008000,1310988,1310988,-6.391588e-06,-1.917476e-05,1.0652637e-06,-0.0007422026,0.00062249316,-0.039528277,4000,4000,0,0,0,1
27508000,27508000,1310988,1310988,-1.7044236e-05,-2.876214e-05,1.0652828e-06,-0.00063206925,0.0007613569,-0.03962404,4000,4000,0,0,0,1
28008000,28008000,1310988,1310988,-1.7021835e-12,-4.793691e-05,-2.1305427e-06,-0.0007900867,0.00072304974,-0.039595313,4000,4000,0,0,0,1
28508000,28508000,1310988,1310988,8.522116e-06,-1.4913704e-05,2.1305295e-06,-0.0006799534,0.0008188178,-0.03942293,4000,4000,0,0,0,1
29008000,29008000,1310988,1310988,3.1957918e-06,-1.7044229e-05,-1.0652655e-05,-0.0006703766,0.00072304974,-0.039398987,4000,4000,0,0,0,1
29508000,29508000,1310988,1310988,-3.1958084e-06,-3.3023207e-05,3.1957788e-06,-0.00072304904,0.0007469917,-0.03952349,4000,4000,0,0,0,1
30008000,30008000,1310988,1310988,-7.4568547e-06,-3.5153735e-05,3.195807e-06,-0.0006847418,0.0007469917,-0.03959053,4000,4000,0,0,0,1
30508000,30508000,1310988,1310988,1.9174757e-05,-4.2610677e-06,-2.130549e-06,-0.0007805097,0.00047405268,-0.039341528,4000,4000,0,0,0,1
31008000,31008000,1310988,1310988,-9.58739e-06,-2.024002e-05,1.1940286e-11,-0.000746991,0.0006368584,-0.039552223,4000,4000,0,0,0,1
31508000,31508000,1310988,1310988,1.0652657e-06,-3.515373e-05,-3.1957984e-06,-0.00063685764,0.00062728155,-0.03950433,4000,4000,0,0,0,1
32008000,32008000,1310988,1310988,-1.0652641e-05,-1.9174764e-05,1.065255e-06,-0.00092416187,0.0006847425,-0.039451662,4000,4000,0,0,0,1
32508000,32508000,1310988,1310988,2.6631607e-05,2.130535e-06,6.391601e-06,-0.00073741423,0.0005506671,-0.03930322,4000,4000,0,0,0,1
33008000,33008000,1310988,1310988,8.52212e-06,3.195784e-06,1.2783176e-05,-0.0008714895,0.0005698208,-0.03965756,4000,4000,0,0,0,1
33508000,33508000,1310988,1310988,1.4913675e-05,-2.8762153e-05,7.45686e-06,-0.00071347214,0.0006368584,-0.039748542,4000,4000,0,0,0,1
34008000,34008000,1310988,1310988,-8.522136e-06,-3.5153727e-05,3.19577e-06,-0.0007565678,0.0006416468,-0.039394196,4000,4000,0,0,0,1
34508000,34508000,1310988,1310988,-8.52213e-06,2.5566344e-05,3.1957943e-06,-0.0009672576,0.00069431914,-0.039260127,4000,4000,0,0,0,1
35008000,35008000,1310988,1310988,-5.5393753e-05,-2.6631613e-05,4.2610764e-06,-0.0008667011,0.00076614507,-0.030583538,4000,4000,0,0,0,1
35508000,35508000,1310988,1310988,-8.522132e-06,4.3675842e-05,-8.522116e-06,-0.0008523358,0.00060812803,-0.041759674,4000,4000,0,0,0,1
36008000,36008000,1310988,1310988,2.1305318e-06,6.391587e-06,2.192e-12,-0.0007565678,0.0006991076,-0.039106894,4000,4000,0,0,0,1
36508000,36508000,1310988,1310988,-3.0892657e-05,2.024004e-05,7.456846e-06,-0.0008188171,0.00064164674,-0.039260127,4000,4000,0,0,0,1
37008000,37008000,1310988,1310988,-9.587389e-06,-4.2610576e-05,-1.0652652e-05,-0.00073262583,0.00051714835,-0.039609674,4000,4000,0,0,0,1
37508000,37508000,1310988,1310988,-1.0652693e-06,-2.982741e-05,-5.326308e-06,-0.0007805097,0.0007182613,-0.039547425,4000,4000,0,0,0,1
38008000,38008000,1310988,1310988,-3.1957893e-06,-6.3915872e-06,-7.4568547e-06,-0.00071347214,0.0006464352,-0.039513916,4000,4000,0,0,0,1
38508000,38508000,1310988,1310988,-1.9174755e-05,-5.326325e-06,-8.522125e-06,-0.00072304904,0.00051714835,-0.039384622,4000,4000,0,0,0,1
39008000,39008000,1310988,1310988,7.456852e-05,-2.450108e-05,-3.1957416e-06,-0.00077093294,0.0005793976,-0.039705448,4000,4000,0,0,0,1
39508000,39508000,1310988,1310988,-2.1305311e-06,-5.4328488e-05,5.3263207e-06,-0.00076614454,0.0005410903,-0.03713886,4000,4000,0,0,0,1
40008000,40008000,1310988,1310988,6.3915845e-06,-3.9414786e-05,9.587381e-06,-0.0007805097,0.00071826123,-0.03652116,4000,4000,0,0,0,1
40508000,40508000,1310988,1310988,-3.30232e-05,5.4328484e-05,-1.1717941e-05,-0.00072304904,0.00064643513,-0.036482852,4000,4000,0,0,0,1
41008000,41008000,1310988,1310988,1.2783175e-05,1.0652634e-06,-2.1305314e-06,-0.0008714895,0.00082839455,-0.037885856,4000,4000,0,0,0,1
41508000,41508000,1310988,1310988,-1.065269e-06,-1.4913704e-05,2.1305254e-06,-0.00064643443,0.00072304974,-0.039279275,4000,4000,0,0,0,1
42008000,42008000,1310988,1310988,7.456858e-06,-2.0240028e-05,-5.326303e-06,-0.00077093294,0.00065601204,-0.039360676,4000,4000,0,0,0,1
42508000,42508000,1310988,1310988,-4.2610595e-06,-5.326319e-06,1.17179125e-05,-0.0007996635,0.00063206995,-0.039461236,4000,4000,0,0,0,1
43008000,43008000,1310988,1310988,-1.0652625e-06,-2.6631611e-05,3.1957957e-06,-0.000746991,0.00061770476,-0.039375048,4000,4000,0,0,0,1
43508000,43508000,1310988,1310988,4.2610545e-06,-2.6631615e-05,-2.1305193e-06,-0.00064643443,0.00053630193,-0.039274484,4000,4000,0,0,0,1
44008000,44008000,1310988,1310988,-7.754389e-12,-1.81095e-05,3.1957936e-06,-0.0007422026,0.0006751657,-0.039351102,4000,4000,0,0,0,1
44508000,44508000,1310988,1310988,-3.1957977e-06,-1.8109502e-05,2.1305143e-06,-0.0007038953,0.00063685834,-0.039207444,4000,4000,0,0,0,1
45008000,45008000,1310988,1310988,3.1957659e-06,-3.089268e-05,5.3263047e-06,-0.0006655882,0.0005171483,-0.039111685,4000,4000,0,0,0,1
45508000,45508000,1310988,1310988,3.1957998e-06,-1.917476e-05,4.261052e-06,-0.0007422026,0.00052672514,-0.039331954,4000,4000,0,0,0,1
46008000,46008000,1310988,1310988,-1.0652657e-06,-2.8762142e-05,4.261061e-06,-0.00068953016,0.00066558877,-0.0392697,4000,4000,0,0,0,1
46508000,46508000,1310988,1310988,2.1305416e-06,-2.3435816e-05,9.587393e-06,-0.000675165,0.00045489904,-0.039217032,4000,4000,0,0,0,1
47008000,47008000,1310988,1310988,-8.522107e-06,-1.7044236e-05,3.1958034e-06,-0.00071826053,0.0004788411,-0.039260127,4000,4000,0,0,0,1
47508000,47508000,1310988,1310988,-4.261056e-06,-2.2370557e-05,-2.130531e-06,-0.00077572133,0.0005554555,-0.039308008,4000,4000,0,0,0,1
48008000,48008000,1310988,1310988,-1.171791e-05,-3.1957954e-06,-3.1957943e-06,-0.0008283939,0.0005889744,-0.03916914,4000,4000,0,0,0,1
48508000,48508000,1310988,1310988,2.130534e-06,-2.2370557e-05,-2.1305289e-06,-0.0008283939,0.0006847425,-0.039284065,4000,4000,0,0,0,1
49008000,49008000,1310988,1310988,-7.4568443e-06,-2.1305294e-05,-2.1305184e-06,-0.0008283939,0.0006033396,-0.039217032,4000,4000,0,0,0,1
