timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0367166,0.0018309236,1.7528675e-11,-0.21126436,0.1906744,-9.918699,-0.0017896442,-0.0054967646,-0.0008309064,0.00038514668,0.00027604372,0.00044137644,4.441751e-06,4.745307e-06,2.8625036e-06,11.832729,11.832729
4936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025532177,0.002196356,1.328215e-11,-0.22026655,0.19546281,-9.9355545,0.00012783174,-0.0047510793,-0.0007030746,0.00078435626,0.00042699173,0.0006127185,4.0729446e-06,6.310369e-06,4.650741e-06,11.832729,11.832729
5936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02275278,0.0020444426,1.2297305e-11,-0.20839131,0.17889492,-9.943981,-0.0013635384,-0.0056459014,-0.00029827413,0.00044113112,0.00033653757,0.0003419623,2.4605995e-06,5.484811e-06,3.548105e-06,11.832729,11.832729
6936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023713978,0.0022372287,1.323137e-11,-0.20800824,0.18435371,-9.9286585,-0.0004261058,-0.0050493535,-0.0005752429,0.0005881811,0.00060522504,0.0004148519,2.4823496e-06,2.3669793e-06,4.844601e-06,11.832729,11.832729
7936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024060352,0.002237564,1.0973581e-11,-0.21155167,0.18425794,-9.94312,0.0,-0.00479369,-0.00012783184,0.00034912932,0.0005204266,0.00028087868,3.286158e-06,5.106547e-06,2.9145147e-06,11.832729,11.832729
8936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022764426,0.0020290222,1.3363116e-11,-0.1913446,0.18502408,-9.941109,-0.0011930962,-0.0049641323,-0.00080960104,0.0003653896,0.00029688986,0.00016846735,2.1343478e-06,4.3670443e-06,3.5963337e-06,11.832729,11.832729
9936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02448237,0.0021305704,1.5661932e-11,-0.20072988,0.17142501,-9.938235,-0.0009374327,-0.0056459014,-0.0010652646,0.00057593343,0.0005254519,0.00022808209,2.370762e-06,3.806269e-06,4.7282847e-06,11.832729,11.832729
10936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02419443,0.0021454063,1.0329342e-11,-0.19115306,0.17697957,-9.921189,-4.2610583e-05,-0.0048149955,0.0006604639,0.00028932336,0.00037255487,0.0003151152,2.1021954e-06,4.928764e-06,2.1107064e-06,11.832729,11.832729
11936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023257291,0.0021493281,8.689666e-12,-0.19919758,0.16634932,-9.930957,-0.0010013486,-0.0038562573,-0.0004900217,0.00055602356,0.00033873483,0.0002932587,3.1755162e-06,6.744426e-06,1.5820841e-06,11.832729,11.832729
12936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023771044,0.0022834463,1.4093932e-11,-0.19479226,0.16692393,-9.926552,-0.0006817692,-0.004921522,-0.000213053,0.0003548615,0.00035612256,0.00037876584,4.173184e-06,5.49143e-06,6.288619e-06,11.832729,11.832729
13936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02314081,0.0021542013,1.0516495e-11,-0.1943134,0.1646255,-9.927031,-0.0017257285,-0.005390238,-0.0011291804,0.00054775004,0.00028053398,0.00055483595,2.985439e-06,2.8445363e-06,2.726329e-06,11.832729,11.832729
14936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0246953,0.0020515178,1.1148304e-11,-0.18013974,0.16271013,-9.939672,-0.0012783174,-0.0053476277,0.00029827392,0.00039613334,0.00033460776,0.00045431172,2.8133295e-06,4.6450673e-06,2.8152208e-06,11.832729,11.832729
15936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023262514,0.002137036,1.1095672e-11,-0.16203958,0.14231153,-9.937374,-0.00061785337,-0.004942827,-0.00023435827,0.00051433133,0.00025798733,0.00033628906,2.2383701e-06,2.1400215e-06,1.9404881e-06,11.832729,11.832729
16936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023425039,0.0021729022,1.134477e-11,-0.17219098,0.15217564,-9.911516,-0.0021944449,-0.0051345746,0.00040480043,0.0003644343,0.00038122962,0.00045571092,3.8611174e-06,4.276261e-06,2.2761965e-06,11.832729,11.832729
17936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025955314,0.0026500835,8.9011847e-11,-0.16424224,0.18483254,-10.131974,0.04020308,-0.0044315,0.00040480043,0.00085696427,0.0006238546,0.0036505887,0.00075950724,3.3268211e-06,4.2384345e-06,11.832728,11.832728
18936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027728634,0.0043755216,1.4771369e-10,-0.10208876,0.08130726,-9.892076,-0.043974116,-0.030402647,-0.0034514572,0.00061949814,0.000275375,0.016076306,3.9027295e-06,7.799779e-06,5.582213e-06,11.830833,11.830833
19936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.025942339,0.0023845052,2.2896764e-11,-0.15466543,0.15792172,-9.953558,0.011185277,0.0034940676,-0.000596548,0.00042274984,0.00032218805,0.0006672691,1.40902885e-05,7.28345e-06,2.9627433e-06,11.826568,11.826568
20936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024042701,0.0021980854,1.4499127e-11,-0.18837579,0.2074338,-9.7478485,0.0053689326,0.00257794,-0.00040480043,0.0005186305,0.00018289556,0.0008034964,8.31989e-06,4.271533e-06,2.418045e-06,11.822173,11.822173
21936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.027070073,0.0020079631,8.779232e-12,-0.20532674,0.19507973,-10.037834,0.0015339808,-0.0016618125,8.522115e-05,0.0006378412,0.00023794369,0.0048790886,7.147275e-06,4.050249e-06,4.2715324e-06,11.819427,11.819427
22936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024028547,0.002325183,2.8980984e-11,-0.16931795,0.17468111,-9.813642,-0.00515588,0.012357067,0.00089482235,0.00046312372,0.00029830373,0.00024883726,5.052645e-06,1.5603342e-05,1.861053e-06,11.818197,11.818197
23936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023049777,0.0022923853,2.7931307e-11,-0.14700398,0.17343615,-9.880009,-0.004559332,-0.008586031,-0.0040480047,0.00017578753,0.0006807372,0.0003443511,5.817681e-06,5.5869414e-06,3.9244765e-06,11.817297,11.817297
24936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023635114,0.0022171289,1.1152655e-11,-0.15782577,0.16203974,-9.8524275,0.0023861923,0.0022583606,0.0028122982,0.00037972012,0.00041736168,0.00040380022,2.4379037e-06,2.1816309e-06,4.362316e-06,11.8166275,11.8166275
25936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023992531,0.0020379345,6.4519254e-12,-0.17228675,0.17276578,-9.863057,-0.0041545313,-0.0011930962,-0.00061785337,0.00029257158,0.00031368528,0.00050829386,2.4823496e-06,1.8979335e-06,1.1272232e-06,11.8161955,11.8161955
26936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024847941,0.00223826,1.4730793e-11,-0.16778566,0.1829172,-9.867942,-0.0024501083,-0.0055393754,0.0015339806,0.00032478655,0.00038023596,0.00048914657,3.7826276e-06,2.6478392e-06,4.8067745e-06,11.815976,11.815976
27936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024786105,0.0023150018,2.0280605e-11,-0.17027563,0.18425794,-9.922913,-0.0025992452,-0.008863,-0.0011717911,0.00068849477,0.00032935315,0.00034683378,3.1755162e-06,2.9759826e-06,3.4752893e-06,11.815823,11.815823
28936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.021818517,0.0022479265,9.364328e-12,-0.18157625,0.17525575,-9.85463,0.0014913703,-0.004857606,0.0002130528,0.00045842328,0.00068022136,0.000487945,2.3405012e-06,5.72879e-06,2.4823496e-06,11.815609,11.815609
29936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023241367,0.0022769535,2.1432639e-11,-0.19823991,0.17295732,-9.90261,-0.0012996227,-0.0077551254,0.0008735168,0.00026368132,0.0006010595,0.00050104724,8.347314e-06,5.699475e-06,4.2289785e-06,11.815456,11.815456
30936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022504753,0.0021552565,1.1907609e-11,-0.1874181,0.16797738,-9.8568325,-0.0009800433,-0.0042823628,0.0008522115,0.00043828413,0.0003848601,0.0003288762,6.4938263e-06,1.4219843e-05,1.7731068e-06,11.815291,11.815291
31936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022352874,0.0022127666,1.5983326e-11,-0.19077,0.14767453,-9.904047,-0.0030040457,-0.004708469,0.0018109495,0.00051098753,0.0005210189,0.00020861442,4.276261e-06,7.746821e-06,4.633719e-06,11.815182,11.815182
32936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024118196,0.0021143116,5.278367e-12,-0.18186356,0.14317344,-9.845628,-0.0020453078,-0.0008948221,-0.00087351684,0.00053427945,0.00036495016,0.00048127185,5.3590384e-06,2.6885027e-06,1.2501586e-06,11.815174,11.815174
33936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0246706,0.0023375824,3.5237504e-11,-0.18291701,0.15686828,-9.900887,-0.0019813918,-0.011206582,-0.00108657,0.00035635193,0.00052741985,0.0007088244,1.689227e-05,3.6048448e-06,5.0469716e-06,11.815151,11.815151
34936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.028875193,0.0021750485,3.5842395e-11,-0.19862297,0.16558313,-8.130135,-0.003749731,-0.015531556,-0.0012570122,0.0006551334,0.00024872023,0.016512174,1.764785e-05,2.1293357e-05,3.6379424e-06,11.815461,11.815461
35936000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.026258402,0.002175407,1.4975443e-11,-0.20082563,0.16194399,-9.858748,-0.0019174761,-0.0051984903,-0.0017470339,0.00050076516,0.00037110277,0.0005628469,3.3097995e-06,3.1982117e-06,4.2204674e-06,11.819932,11.819932
