timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
20112000,20112000,1310988,1310988,-6.3915923e-06,-1.7044233e-05,-1.1077968e-11,-0.0005410897,0.00048841786,-0.03980121,4000,4000,0,0,0,1
20612000,20612000,1310988,1310988,-6.3915822e-06,-2.556635e-05,3.1958095e-06,-0.00062249246,0.0006608005,-0.039724596,4000,4000,0,0,0,1
21112000,21112000,1310988,1310988,8.321783e-12,-1.81095e-05,-1.0652568e-06,-0.00062249246,0.00063206995,-0.039700653,4000,4000,0,0,0,1
21612000,21612000,1310988,1310988,2.1305364e-06,-2.0240028e-05,-1.3848433e-05,-0.0006943185,0.00060812803,-0.03960489,4000,4000,0,0,0,1
22112000,22112000,1310988,1310988,-1.6549002e-11,-1.4913703e-05,7.456853e-06,-0.00084754743,0.0007038961,-0.039600104,4000,4000,0,0,0,1
22612000,22612000,1310988,1310988,-1.0652682e-06,-1.3848437e-05,-3.195795e-06,-0.00068953016,0.00045489904,-0.03958094,4000,4000,0,0,0,1
23112000,23112000,1310988,1310988,-1.17179125e-05,-1.1717909e-05,-2.1305295e-06,-0.0006129157,0.0005410904,-0.039614465,4000,4000,0,0,0,1
23612000,23612000,1310988,1310988,-5.32632e-06,-1.5978969e-05,-2.1305295e-06,-0.0005602432,0.0005698208,-0.03963841,4000,4000,0,0,0,1
24112000,24112000,1310988,1310988,-4.2554575e-12,-1.5978969e-05,-5.326323e-06,-0.00073262583,0.0005554555,-0.03963362,4000,4000,0,0,0,1
24612000,24612000,1310988,1310988,1.0652851e-06,-2.1305292e-05,-1.1717907e-05,-0.0006799534,0.000536302,-0.039671928,4000,4000,0,0,0,1
25112000,25112000,1310988,1310988,4.2610504e-06,-1.8109497e-05,6.3916027e-06,-0.00068474177,0.00053151353,-0.039609674,4000,4000,0,0,0,1
25612000,25612000,1310988,1310988,-2.1305243e-06,-1.81095e-05,1.66981e-12,-0.00059855054,0.00056503236,-0.03947081,4000,4000,0,0,0,1
26112000,26112000,1310988,1310988,8.522111e-06,-2.6631615e-05,1.0652706e-06,-0.00065601134,0.00060333963,-0.03963362,4000,4000,0,0,0,1
26612000,26612000,1310988,1310988,-1.2783169e-05,-2.1305294e-05,1.0652692e-06,-0.0007422026,0.00049799465,-0.039446875,4000,4000,0,0,0,1
27112000,27112000,1310988,1310988,-6.3915804e-06,-2.5566353e-05,1.7143006e-11,-0.00073262583,0.0007517801,-0.039600104,4000,4000,0,0,0,1
