timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
3448000,32767,32767,32767,32767,32767,32767
3452000,32767,32767,32767,32767,0,32767
3456000,32767,32767,32767,32767,32767,32767
3460000,32767,32767,32767,32767,0,32767
3464000,32767,32767,32767,32767,32767,32767
3468000,32767,32767,32767,32767,32767,32767
3472000,32767,32767,32767,32767,32767,32767
3476000,32767,32767,32767,32767,32767,32767
3480000,32767,32767,32767,32767,32767,32767
3484000,32767,32767,32767,32767,32767,32767
3488000,32767,32767,32767,32767,32767,32767
3492000,32767,32767,32767,32767,32767,32767
3496000,32767,32767,32767,32767,32767,32767
3500000,32767,32767,32767,32767,32767,32767
3504000,32767,32767,32767,32767,32767,32767
3508000,32767,32767,32767,32767,32767,32767
3512000,32767,32767,32767,32767,32767,32767
3516000,32767,32767,32767,32767,32767,32767
3520000,32767,32767,32767,32767,32767,32767
3524000,32767,32767,32767,32767,32767,32767
3528000,32767,32767,32767,32767,32767,32767
3532000,32767,32767,32767,0,32767,32767
3536000,32767,32767,32767,32767,32767,32767
3540000,32767,32767,32767,32767,32767,32767
3544000,32767,32767,32767,32767,32767,32767
3548000,32767,32767,32767,32767,32767,32767
3552000,32767,32767,32767,32767,32767,32767
3556000,32767,32767,32767,32767,32767,32767
3560000,32767,32767,32767,32767,32767,32767
3564000,32767,32767,32767,-40,32767,32767
3568000,32767,32767,32767,32767,32767,32767
3572000,32767,32767,32767,32767,32767,32767
3576000,32767,32767,32767,32767,32767,32767
3580000,32767,32767,32767,32767,32767,32767
3584000,32767,32767,32767,32767,0,32767
3588000,32767,32767,32767,32767,32767,32767
3592000,32767,32767,32767,32767,32767,32767
3596000,32767,32767,32767,32767,0,32767
3600000,32767,32767,32767,32767,32767,32767
3604000,32767,32767,32767,32767,32767,32767
3608000,32767,32767,32767,32767,32767,32767
3612000,32767,32767,32767,32767,32767,32767
3616000,32767,32767,32767,32767,32767,32767
3620000,32767,32767,32767,32767,32767,32767
3624000,32767,32767,32767,32767,32767,32767
3628000,32767,32767,32767,32767,32767,32767
3632000,32767,32767,32767,32767,32767,32767
3636000,32767,32767,32767,32767,32767,32767
3640000,32767,32767,32767,32767,32767,32767
3644000,32767,32767,32767,32767,32767,32767
3648000,32767,32767,32767,32767,32767,32767
3652000,32767,32767,32767,32767,32767,32767
3656000,32767,32767,32767,-40,32767,32767
3660000,32767,32767,32767,32767,32767,32767
3664000,32767,32767,32767,32767,32767,32767
3668000,32767,32767,32767,32767,32767,32767
3672000,32767,32767,32767,32767,32767,32767
3676000,32767,32767,32767,32767,32767,32767
3680000,32767,32767,32767,0,32767,32767
3684000,32767,32767,32767,32767,32767,32767
3688000,32767,32767,32767,32767,32767,32767
3692000,32767,32767,32767,32767,32767,32767
3696000,32767,32767,32767,32767,32767,32767
3700000,32767,32767,32767,32767,32767,32767
3704000,32767,32767,32767,32767,32767,32767
3708000,32767,32767,32767,32767,32767,32767
3712000,32767,32767,32767,32767,32767,32767
3716000,32767,32767,32767,32767,32767,32767
3720000,32767,32767,32767,32767,32767,32767
3724000,32767,32767,32767,32767,32767,32767
3728000,32767,32767,32767,32767,32767,32767
3732000,32767,32767,32767,32767,-40,32767
3736000,32767,32767,32767,32767,32767,32767
3740000,32767,32767,32767,32767,32767,32767
3744000,32767,32767,32767,32767,-40,32767
3748000,32767,32767,32767,32767,32767,32767
3752000,32767,32767,32767,32767,32767,32767
3756000,32767,32767,32767,32767,32767,32767
3760000,32767,32767,32767,32767,32767,32767
