timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
3348000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
29408000,0.0,0.0,29.0,4.0,4.0,0.0,0.0,176,1,0,255,190,1,1
30400000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
30408000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
95692000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
95712000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
95712000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,1,1,0,0
146572000,0.0,0.0,0.0,2.0,80.0,nan,487.94882,0,1,1,1,1,0,0
