timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
3348000,3348000,1310988,0.0,0.0,0.0,0.15,0.010040122,0.010040122,0.010040039,1310988,0.0,0.0,0.0,0.4,0.04016049,0.04016049,0.04016049,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4116000,4036000,1310988,-0.0010820951,-0.0017525465,2.3945835e-05,0.15,0.0078837555,0.007887538,0.002602219,1310988,-0.0010407155,0.0012712767,-0.09928818,0.4,0.05025846,0.05026228,0.0045096194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4220000,4140000,1310988,-0.0010936465,-0.0017712468,2.4127325e-05,0.15,0.00805286,0.008056729,0.0026432641,1310988,-0.0010518027,0.0012848245,-0.100347415,0.4,0.05133653,0.051340427,0.004606363,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4324000,4244000,1310988,-0.001051174,-0.0018150822,2.2970757e-05,0.15,0.007797312,0.0078011476,0.0026932214,1310988,-0.0010759828,0.0012826134,-0.101448864,0.4,0.05226325,0.05226718,0.0046667834,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4452000,4372000,1310988,-0.0010618012,-0.0018335384,2.5906003e-05,0.15,0.007956512,0.007960458,0.0026527152,1310988,-0.0010869532,0.0012956925,-0.102480344,0.4,0.053330567,0.05333456,0.0047620954,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4532000,4452000,1310988,-0.00055652304,-0.0026896866,9.825993e-06,0.15,0.0038061307,0.003808364,0.002680099,1310988,-0.001413672,0.0011348386,-0.1036013,0.4,0.053391535,0.053395115,0.0047088237,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4676000,4596000,1310988,-0.000461597,-0.0037263944,5.4747507e-06,0.15,0.0012834462,0.0012841441,0.002502054,1310988,-0.0018083052,0.0011072259,-0.10451102,0.4,0.053971052,0.053974595,0.004792163,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4740000,4660000,1310988,-0.00053717586,-0.0038545695,6.726034e-06,0.15,0.0011882837,0.001188914,0.0025193307,1310988,-0.0018986502,0.0011708114,-0.10603558,0.4,0.054321904,0.054325532,0.004601651,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4940000,4860000,1310988,-0.0009122551,-0.0044259797,1.2789418e-05,0.15,0.0005812777,0.0005815052,0.0022203217,1310988,-0.0021563086,0.0013475821,-0.10701416,0.4,0.055206,0.055209804,0.004686907,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
4948000,4868000,1310988,-0.0010018823,-0.0044626785,1.48493245e-05,0.15,0.00054939743,0.00054959627,0.002221745,1310988,-0.0022256272,0.001434648,-0.10879657,0.4,0.055229284,0.05523325,0.0043421104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0
