timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
3448000,0.0,0.0,0.0,0.0
3452000,0.0,0.0,0.0,0.0
3648000,0.0,0.0,0.0,0.0
3848000,0.0,0.0,0.0,0.0
4048000,0.0,0.0,0.0,0.0
4248000,0.0,0.0,0.0,0.0
4448000,0.0,0.0,0.0,0.0
4648000,0.0,0.0,0.0,0.0
4848000,0.0,0.0,0.0,0.0
5044000,0.0,0.0,0.0,0.0
5248000,0.0,0.0,0.0,0.0
5448000,0.0,0.0,0.0,0.0
5648000,0.0,0.0,0.0,0.0
5848000,0.0,0.0,0.0,0.0
6048000,0.0,0.0,0.0,0.0
6248000,0.0,0.0,0.0,0.0
6444000,0.0,0.0,0.0,0.0
6648000,0.0,0.0,0.0,0.0
6848000,0.0,0.0,0.0,0.0
7048000,0.0,0.0,0.0,0.0
7248000,0.0,0.0,0.0,0.0
7448000,0.0,0.0,0.0,0.0
7648000,0.0,0.0,0.0,0.0
7848000,0.0,0.0,0.0,0.0
8044000,0.0,0.0,0.0,0.0
8248000,0.0,0.0,0.0,0.0
8448000,0.0,0.0,0.0,0.0
8648000,0.0,0.0,0.0,0.0
8848000,0.0,0.0,0.0,0.0
9048000,0.0,0.0,0.0,0.0
9248000,0.0,0.0,0.0,0.0
9448000,0.0,0.0,0.0,0.0
9648000,0.0,0.0,0.0,0.0
9848000,0.0,0.0,0.0,0.0
10044000,0.0,0.0,0.0,0.0
10248000,0.0,0.0,0.0,0.0
10448000,0.0,0.0,0.0,0.0
10648000,0.0,0.0,0.0,0.0
10848000,0.0,0.0,0.0,0.0
11048000,0.0,0.0,0.0,0.0
11248000,0.0,0.0,0.0,0.0
11448000,0.0,0.0,0.0,0.0
11648000,0.0,0.0,0.0,0.0
11848000,0.0,0.0,0.0,0.0
12048000,0.0,0.0,0.0,0.0
12248000,0.0,0.0,0.0,0.0
12448000,0.0,0.0,0.0,0.0
12648000,0.0,0.0,0.0,0.0
12848000,0.0,0.0,0.0,0.0
13048000,0.0,0.0,0.0,0.0
13248000,0.0,0.0,0.0,0.0
13448000,0.0,0.0,0.0,0.0
13648000,0.0,0.0,0.0,0.0
13848000,0.0,0.0,0.0,0.0
14048000,0.0,0.0,0.0,0.0
14248000,0.0,0.0,0.0,0.0
14448000,0.0,0.0,0.0,0.0
14648000,0.0,0.0,0.0,0.0
14848000,0.0,0.0,0.0,0.0
15048000,0.0,0.0,0.0,0.0
15248000,0.0,0.0,0.0,0.0
15448000,0.0,0.0,0.0,0.0
15648000,0.0,0.0,0.0,0.0
