timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
3348000,3348000,1310988,0.0,0.0,0.0,0.15,0.010040122,0.010040122,0.010040039,1310988,0.0,0.0,0.0,0.4,0.04016049,0.04016049,0.04016049,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
4116000,4036000,1310988,-0.0007953753,-0.0018563502,1.5185323e-05,0.15,0.008194201,0.008197137,0.002146362,1310988,-0.0010069478,0.0012515412,-0.09929185,0.4,0.050184827,0.050189897,0.0045087147,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
4220000,4140000,1310988,-0.0008038671,-0.0018761588,1.5284206e-05,0.15,0.00836997,0.008372969,0.002181714,1310988,-0.0010176739,0.0012648796,-0.10035113,0.4,0.05126131,0.05126649,0.0046054386,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4324000,4244000,1310988,-0.0007954555,-0.0018985085,-8.356956e-06,0.15,0.008475052,0.008478123,0.0022216963,1310988,-0.0009905685,0.0013465239,-0.10145192,0.4,0.050864317,0.050869282,0.0046647466,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4452000,4372000,1310988,-0.00080378994,-0.0019190621,-9.7593875e-05,0.15,0.008648129,0.008651261,0.002264938,1310988,-0.0009998727,0.0013610763,-0.10248325,0.4,0.05190306,0.05190813,0.004760017,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4532000,4452000,1310988,-0.0007120058,-0.002199104,4.822852e-05,0.15,0.008259241,0.008262562,0.0022807051,1310988,-0.00012626009,0.0018980536,-0.10361603,0.4,0.043285765,0.04328947,0.004699479,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4676000,4596000,1310988,-0.00072772044,-0.002691476,-8.266525e-05,0.15,0.007719188,0.0077226167,0.0023037742,1310988,0.0007077395,0.0019439135,-0.10455002,0.4,0.041894525,0.041898336,0.0047810995,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4740000,4660000,1310988,-0.0008783724,-0.0029926263,-0.00016704292,0.15,0.007289397,0.0072927694,0.0023073328,1310988,0.0005438001,0.0020571908,-0.10607157,0.4,0.042069808,0.04207366,0.004590522,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4884000,4804000,1310988,-0.001486619,-0.0040921923,-0.00011819813,0.15,0.005365651,0.005368538,0.002305297,1310988,0.0001685365,0.002338393,-0.10679802,0.4,0.042365357,0.042369187,0.004653534,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
4948000,4868000,1310988,-0.0018180426,-0.0042998595,-0.00010969334,0.15,0.0046752095,0.004677799,0.0023171399,1310988,-5.907514e-05,0.0027062441,-0.10881945,0.4,0.041891724,0.041895702,0.0043301946,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
