timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
3812000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,0,0,0,0,0,0,0,0,0,0,0
4812000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,0,0,0,0,0,0,0,0
4816000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
5820000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
6828000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
7836000,3812000,1,1310988,6620172,1310988,197388,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
8844000,3812000,1,1310988,6620172,1310988,197388,0.012838958,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
9852000,3812000,1,1310988,6620172,1310988,197388,0.0068171592,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
10860000,3812000,1,1310988,6620172,1310988,197388,0.0031923645,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
11868000,3812000,1,1310988,6620172,1310988,197388,0.004286765,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
12876000,3812000,1,1310988,6620172,1310988,197388,0.011575179,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
13884000,3812000,1,1310988,6620172,1310988,197388,0.009738082,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
14892000,3812000,1,1310988,6620172,1310988,197388,0.0056541516,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
15900000,3812000,1,1310988,6620172,1310988,197388,0.0067423456,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
16908000,3812000,1,1310988,6620172,1310988,197388,0.008014196,nan,nan,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,0,4,1,0,0,1,0,0,0,0,0,0,0
