timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
3264000,0.0,0.0,0.0,0.0
3268000,0.0,0.0,0.0,0.0
3464000,0.0,0.0,0.0,0.0
3664000,0.0,0.0,0.0,0.0
3864000,0.0,0.0,0.0,0.0
4060000,0.0,0.0,0.0,0.0
4264000,0.0,0.0,0.0,0.0
4460000,0.0,0.0,0.0,0.0
4664000,0.0,0.0,0.0,0.0
4864000,0.0,0.0,0.0,0.0
5064000,0.0,0.0,0.0,0.0
5264000,0.0,0.0,0.0,0.0
5464000,0.0,0.0,0.0,0.0
5660000,0.0,0.0,0.0,0.0
5864000,0.0,0.0,0.0,0.0
6064000,0.0,0.0,0.0,0.0
6260000,0.0,0.0,0.0,0.0
6464000,0.0,0.0,0.0,0.0
6664000,0.0,0.0,0.0,0.0
6864000,0.0,0.0,0.0,0.0
7060000,0.0,0.0,0.0,0.0
7264000,0.0,0.0,0.0,0.0
7464000,0.0,0.0,0.0,0.0
7660000,0.0,0.0,0.0,0.0
7864000,0.0,0.0,0.0,0.0
8064000,0.0,0.0,0.0,0.0
8260000,0.0,0.0,0.0,0.0
8464000,0.0,0.0,0.0,0.0
8664000,0.0,0.0,0.0,0.0
8864000,0.0,0.0,0.0,0.0
9064000,0.0,0.0,0.0,0.0
9264000,0.0,0.0,0.0,0.0
9464000,0.0,0.0,0.0,0.0
9664000,0.0,0.0,0.0,0.0
9864000,0.0,0.0,0.0,0.0
10060000,0.0,0.0,0.0,0.0
10264000,0.0,0.0,0.0,0.0
10464000,0.0,0.0,0.0,0.0
10664000,0.0,0.0,0.0,0.0
10864000,0.0,0.0,0.0,0.0
11064000,0.0,0.0,0.0,0.0
11264000,0.0,0.0,0.0,0.0
11464000,0.0,0.0,0.0,0.0
11664000,0.0,0.0,0.0,0.0
11864000,0.0,0.0,0.0,0.0
12064000,0.0,0.0,0.0,0.0
12264000,0.0,0.0,0.0,0.0
12460000,0.0,0.0,0.0,0.0
12664000,0.0,0.0,0.0,0.0
12864000,0.0,0.0,0.0,0.0
13064000,0.0,0.0,0.0,0.0
13264000,0.0,0.0,0.0,0.0
13464000,0.0,0.0,0.0,0.0
13660000,0.0,0.0,0.0,0.0
13864000,0.0,0.0,0.0,0.0
14064000,0.0,0.0,0.0,0.0
14264000,0.0,0.0,0.0,0.0
14464000,0.0,0.0,0.0,0.0
14664000,0.0,0.0,0.0,0.0
14864000,0.0,0.0,0.0,0.0
15060000,0.0,0.0,0.0,0.0
